user_name,user_rank,num_response,user_star,time,rating,content
오레오 인종,13,23,3.3,2024.01.20.,4.0,최고의 연주를 들을 수 있었다.하지만 직원이 조금 불친절하다.
우히히,29,77,4.1,2024.01.05.,4.0,캬 분위기 좋아요!! 크리스마스에 갔었는데 입장료가 만원 더 비쌌어요. 안주는 이 날만 없는건지 입이 심심했지만 그래도 다시 가볼만 한 거 같아요
mms,20,33,3.3,2023.09.21.,5.0,이따금 재즈가 생각날 때면 들르는 곳. 홍대에 아직 이런 장소가 남아 있음에 감사하고 있습니다.
설입,31,196,3.6,2023.08.17.,4.0,분좋아지는 공간이에요
예이,4,40,4.3,2023.08.11.,4.0,
그냥,15,15,4.2,2023.07.11.,5.0,"공연보다보면 시간 가는 줄 몰라요.잼 하는 날이 진짜 재미있어용공연비는 현금으로 받으니깐 미리 참고해두세요! 칵테일맛은 크게 기대 안 하면 괜찮은 맛입니다.꿀토마토 짱 맛있어요.<2022년>5.30 첫 방문6.6 재방문12.24 재재방문: 크리스마스 이브 분위기 미쳐요,,,<2023년>to be continued"
한지현,5,5,5.0,2023.05.30.,5.0,처음 가본 재즈바였는데 너무 좋았어요! 잼 하는 날이어서 그랬는지 연주자 분들이랑 일반 관객이 섞여 앉아있다가 주변에서 한 분씩 자리에서 일어나서 무대로 가시는게 정말 신기했습니다😊 음료도 정말 맛있고 직원 분도 친절하셨어요!
진승민,10,15,4.0,2023.05.20.,3.0,"2부가 9시 50분부터라길래...40분에 갔다가 만석이래서, 이따 안내해준다길래 기다렸더마, 20분후에 따로 또 사람 들어갈때 그제서야 못받는다고 하면... 첨부터 안된다고 하던지. 아쉽네요.별개로 좋은곳이에요."
silver,15,33,4.5,2023.02.27.,5.0,또 가고싶어요!!
무야자키 무야호,16,39,4.6,2023.02.20.,4.0,"월요일에 가고싶어요입장료: 15,000원음료 별도 1인 1개 필수주문"
.,22,52,3.4,2022.10.19.,4.0,홍대의 귀한 재즈바처음 오는 사람들에겐 접근성이 좀 떨어진다는 생각이 들어서 별 하나 뺌
🍉,33,122,4.5,2022.10.14.,5.0,이런 재즈바 또 없을 것입니다
Klaus (클라우스),2,51,4.4,2022.10.08.,5.0,
콧잔등,30,105,3.7,2022.09.22.,5.0,재즈바. 큰 소리 싫어하면 안좋아할수도. 재즈 좋아하면 데이트하기에 좋음. 근데 공연 한 번 시작하면 도중에 나가기 애매한 분위기라 여기 공연하시는 분께서 쉬어간다고 할 때까지 기다려야하는…
의영,17,18,5.0,2022.07.09.,5.0,ㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄱㄲㄱㄱㄱㄱㄱㄱ 레쓰고
유연수,2,3,5.0,2022.05.27.,5.0,
다솔,17,20,5.0,2022.03.30.,5.0,너무 좋아요. 잊지 못태.....
kwakwkwak,13,46,4.4,2022.03.18.,5.0,
정윤,11,37,3.0,2022.02.01.,5.0,
배고픈개곩,26,67,4.4,2022.01.24.,5.0,너무 좋아요... 마음 정화하고 온 느낌
J,15,87,3.6,2022.01.04.,5.0,
metacognition,40,261,4.7,2021.12.14.,5.0,다음에 또 갈 거예요 ! 공연 너무 좋았어요!!!
jjj,33,155,4.1,2021.11.01.,4.0,다 좋은데.. 오늘 드럼 진짜.. 난타 공연인줄.. ㅠㅠ 나머지는 정말 좋아서 재방문 의사 있어요ㅜ
하이알라,3,2,5.0,2021.10.23.,5.0,역시~에반스~최고예요 ❤
이승엽,5,16,4.8,2021.09.11.,5.0,
칼국수맛집찾아요,18,30,4.0,2021.06.29.,5.0,
52907,38,513,3.2,2020.11.21.,5.0,홍대에서 재즈가 필요하다면
카카오8년투자후익절,52,915,3.5,2020.07.12.,4.0,다시 가고 싶은 곳
마루,16,122,4.5,2019.07.25.,5.0,
9구르미,52,763,3.1,2019.01.11.,3.0,문리버. 말로만 듣던 에반스 오다
soyoung,9,12,2.7,2018.08.25.,5.0,
정태준,40,539,3.8,2017.10.02.,4.0,
a.k.a. Tech,3,121,3.4,2017.08.07.,4.0,
YUJIN,32,"1,106",4.8,2017.04.15.,5.0,
김지형,41,923,3.8,2016.12.10.,5.0,소리의 향연
김인규,2,145,3.0,2016.04.04.,3.0,
김정민,30,250,3.4,2016.03.13.,4.0,
...,24,128,2.8,2016.03.11.,3.0,라이브 쬐즈바....멋지고 재미난 곳...
