user_name,user_rank,num_response,user_star,time,rating,content
ZG,20,144,3.0,2024.04.04.,5.0,
아기,15,21,4.0,2023.12.04.,1.0,커피는 쏘쏘타르트 다 쓰레기차갑고 맛없고..다신안먹을..이쁜쓰레기..
영고,11,12,1.0,2023.12.01.,1.0,에그타르트 전문점이지만  차가운 에그타르트만 있음
STAFF ONLY,32,326,3.4,2023.10.09.,2.0,통
JinnyK,6,29,4.8,2023.10.01.,5.0,
푸다뱅,75,933,4.2,2023.07.31.,3.0,타르트 비주얼에 비해 퀄리티는 아쉽지만 분위기로 먹는 타르트카페
동현,5,20,4.3,2023.07.01.,5.0,
내후기를믿어봐,29,97,4.2,2023.05.17.,3.0,오다가다 보면서 엄청 기대했는데 맛이 비주얼을 못따라왔던 기억...
abcd,22,59,2.4,2023.03.15.,5.0,
버거맨,13,21,4.4,2023.03.04.,3.0,좋아하는 가게인데.. 신메뉴여서 구매해봤는데 망고? 맛은 전혀 안나고 비린내가 나요…ㅠㅠㅠ 가운데 노란거 빼고 먹으니까 알던 맛이 났는데 이상하네요..
홍수연,9,12,3.8,2023.02.10.,1.0,원두든 유유든 둘중에 하나는 확실히 썩음락스;;;; 샴푸 맛이나요;;;
투 비 어니스트!,36,287,3.7,2022.12.04.,1.0,타르트지 개딱딱하고 맛대가리 X매장 외관은 화려한데 맛도 별로 없고 직원 서비스도 영...글고 결정적으로 위생관념 합정역 지하철에 역사에 두고 오신 듯쥐 돌아다니는거 봤습니다.....🐀🐀 관리 좀 똑바로 하세요기대 많이 하고 갔는데 진심 돈 아까움..... ㅠ
니커,21,32,4.9,2022.11.12.,5.0,many cute little tasty tarts
G,20,62,4.3,2022.09.27.,4.0,
오승,6,6,5.0,2022.09.26.,5.0,종류도 다양하고 엄청 맛있어요!!
SunnyNo32,50,437,4.5,2022.09.06.,5.0,수박주스 맛있네요
ls,24,162,4.6,2022.08.13.,5.0,치즈타르트 존맛이요.......
.,13,29,2.7,2022.07.08.,2.0,직원 응대 별로영업시간 12시까지라 써놓고 10시 반에 마감한다고 나가라는건 뭐하자는ㅋㅋㅋㅋ 아무데도 안내가 없음타르트 맛은 있었음장소가 아까움
스댕,4,6,4.2,2022.05.26.,5.0,맛있어요 신기한 타르트도 많고
오몽,23,78,3.1,2022.04.25.,5.0,직원분들도 그럭저럭 친절하시고 타르트랑 음료가 맛있어요. 분위기도 좋고 넓어서 쾌적해요.
평균3점대공정리뷰,29,122,3.5,2022.03.14.,5.0,[맛 5/5] [분위기 5/5] [서비스 5/5]달콤한 키쉬 말고 담백한 키쉬들 파는 몇 안되는 곳이여서 홍대쪽 올때마다 들름. 특히 라자니야 키쉬는 무조건 먹어야함. 분위기도 좋고 특히 3층 루프탑 완전 괜찮음
joon,4,21,4.4,2022.02.24.,3.0,
...☆,7,14,3.8,2022.02.05.,3.0,맛있어요.종류도 다양하고 좋아요
사리추가해주세요,37,190,3.7,2021.12.16.,3.0,1층 너무 추움 사람들이 구석자리로 가는 이유가 있었음 패딩 입고 앉아있었음음료 쏘쏘 타르트도 내 입맛엔 그닥 맛있진 않았음화장실이 정신과 시간의 방임 삼면이 거울이라 당황
박인하,23,83,4.0,2021.11.28.,3.0,예전보다 메뉴 다양성이 떨어진 것 같아요..
정영경,1,2,3.5,2021.11.12.,4.0,
