user_name,user_rank,num_response,user_star,time,rating,content
.,11,9,4.0,2024.04.07.,4.0,모둠꼬치 맛있음. 꽤 신선한 재료 쓰는 것 같았음 다른 메뉴는 안먹어봐서 모르겠..사케 도쿠리로 파는곳 잘 없는데 좋네요
홍대성수이태원,24,40,4.5,2024.03.19.,2.0,....진짜 이게 맛있어요?닭튀김은 가게에서 반죽한 것 같지 않고 냉동으로 나온 제품 튀긴 것 같아요. 지하에 있고 환기가 잘 되지 않아 건너편 테이블에서 꼬치류를 주문하니 가게가 연기로 가득차고 매캐한 공기를 맡으며 술을 마셨어요. 눈도 상당히 매웠습니다. 주방에서 일하시는 분들의 건강이 걱정돼요.그리고 하이볼에 술이 들어가긴 하는 건가요ㅠㅠ
이 소연,3,2,4.5,2023.12.03.,4.0,"아담한 좌석들에 분위기는 데이트하기 좋은것 같아요. 커플분들이 많더라구요ㅋㅋ 너무 시끌벅쩍하지 않아서 좋았습니당. 모듬꼬치는 다른곳에 비해 가성비가 좋진 않았지만, 맛은 무난해서 실패없었어요. 적당히 2차로 가기 괜찮은 장소🤔"
ました,55,248,3.9,2023.11.12.,5.0,여기 새우크림고로케가 진심 미친 맛입니다! 꼭 드세요! 두 번 드시고 세 번 드세요!!!
먹는거조하,8,6,4.3,2023.10.03.,5.0,내가 젤 좋아하는 홍대 술집
언제나청춘,41,564,4.7,2023.09.13.,5.0,오늘도 이자카야에서 기분 좋게 1잔하고 갑니다.
강경보,2,2,5.0,2023.09.05.,5.0,타다끼 맛있어요~
bluecomet,24,99,3.5,2023.08.18.,3.0,"너무 좁고 맛은 평범해요하이볼이 대체로 달고 술맛이 잘 안나는 편입니다테이블이 끈적거리고 천장에 거미줄이 좀 있어요,,"
ㅇ,3,1,5.0,2023.08.13.,5.0,일본여행 가서 먹은 것보다 맛있었어요근데 가격대가 좀 있고 매장이 좁음
ㅇㅇ,21,31,4.0,2023.07.30.,5.0,분위기도 좋고 간단하게 술이랑 꼬치 먹기 너무 좋은 집이에요..! 다만 가게가 협소해서 만석이면 기다려야한다는 점..
징ㅇ,65,751,3.4,2023.07.29.,3.0,무난무난 맛있음! 레몬 소와는 술맛이 많이 안나서 가볍게 마시기 좋음
은구,35,215,4.4,2023.07.20.,5.0,메뉴4개 시켜서 먹었는데 다 맛있음ㅋㅋㅋ최고
DIZH,4,4,4.0,2023.06.23.,5.0,명란 계란말이 개믿힝놈 ⌒⏑⌒
임씨,31,108,3.6,2023.06.09.,4.0,"음식들이 기대보다 다 맛있었어요. 오뎅탕은 국물이 진짜 맛있었고, 중간에는 한 번 데워주셔서 따뜻하게 잘 먹었어요. 타다끼는 워낙 다른 술집에서 양도 적고 해서 잘 기대 안했는데, 나름 풍성하게 나와서 좋았어요. 얼그래이하이볼도 향이랑 맛이 진하게 잘 느껴졌습니다."
맛있는 건 정말 못 참아~,27,93,4.0,2023.05.04.,3.0,좁고 맛은 무난해요. 레몬사와는 양도 많고 맛있어요. 전체적으로 괜찮은데 가격대비 별로예요.
돼지,31,88,2.0,2023.02.19.,5.0,개맛있다 미친!!!!!!!!!처음에 계란말이 먼저 나와서 한입 베어물었더니 이건 뭐 천상의 계란말이인가요..;두번째로는 게살크림고로케인가였는데 하 이것도 진짜 빠삭하고 같이 나온 샐러드도 너무 맛있고ㅠㅠㅠㅠㅠ배부른데 너무 맛있어서 하나 더 시킨 게 명란삼겹비빔면이었는데 하.....이걸 맨 처음으로 시킬걸 ㅠ 배부른데 남기고 너무 아쉬웠어요...........레몬사와도 이렇게 맛있는 술인지 첨 알았읍니다;;;ㅠㅠ앞으로 술 마시면 매번 여기로 갈거에요
LUC,14,44,4.9,2023.02.18.,5.0,최고에욧!!
냉철한입맛,43,503,3.7,2023.02.01.,4.0,야끼소바 레몬사와 다 괜찮았어요웨이팅 써놓으면 전화주셔서 좋아요
방문객,15,221,3.3,2022.11.23.,3.0,
안지영,13,44,3.9,2022.11.13.,5.0,꼬치도 맛있고 나가사키짬뽕탕도 알차니 맛있습니다.
맛집탐방,30,140,3.4,2022.09.26.,4.0,"친절하시고, 메뉴 맛있습니다. 선토리 하이볼은 다 떨어져서 못 마셨지만 조니워커 하이볼도 맛있었네요. 무설탕 탄산으로 마셔도 충분히 맛있습니다.꼬치메뉴 맛있었는데 다음에는 요리류 먹으러 방문할 예정"
신짱구,34,105,4.0,2022.08.08.,5.0,나만 알고싶은 맛집하나에서부터 열까지 맘에 드는집사장님? 주방장님 비주얼이 참 훈훈합니다.대체적으로 엄청 친절하세요!! 음식두 백점만점술이 쭉쭉 들어갑니다!!
ISFP,8,15,4.1,2022.07.04.,5.0,여기 몇년전부터 사람별로 없는 찐맛집이었는데 요즘 사람많아져서 웨이팅이 넘 길어졌다.. 더이상 알려지지마....
ㅇㅈ,29,83,3.8,2022.01.24.,5.0,맛있고 사장님 잘생겼음
0361,24,60,4.0,2020.10.25.,4.0,가격이 조금 아쉽지만 안주가 아주 맛있어요.
-,8,22,1.3,2020.06.11.,3.0,
김민준,8,229,2.8,2019.07.14.,2.0,
삐웰,23,118,4.0,2018.10.03.,5.0,가성비 좋음 아주고급 이자카야는 아니지만 맛도 좋고 양도 좋음
져니,8,11,5.0,2018.05.16.,5.0,사장님 정말정말 친절하십니다.... 그리고 메로구이도 정말정말 맛있습니다 ㅠㅠㅠ강추에욤!!!
