user_name,user_rank,num_response,user_star,time,rating,content
불친절은 죄악,23,67,3.7,2024.03.18.,4.0,
방랑자,22,48,4.3,2024.03.13.,5.0,단체 있으면 많이 시끄럽지만존맛탱.앞으로 여기가 나의 홍대 족발집이다.
J,2,2,1.0,2024.03.07.,1.0,돈과 맛 떠나서 50분 기다리게 하는 게 말이 되냐 저녁 7시10분 갔다가 8시도 안 나오면 배 고파 죽는 줄(시간 많이 걸린다고 미리 말해줬어야지)
커피,25,92,2.7,2024.02.23.,3.0,맛있었습니다. 근데 주인분이 막 엄청 친절하고 그러진 않네요
avo,28,151,2.9,2024.01.29.,5.0,지글지글 나오는 족발 충격적이었음개인적으로는 오향맛이 마늘맛보다 맛있었다또먹으러갈거임주차도 돼서 좋았다
ㄱㅁ,13,26,3.7,2024.01.22.,4.0,맛있어요족발은 먹다보면 물리는건 어쩔수 없는듯 ㅠ
.,11,314,3.5,2023.10.16.,5.0,
우캬캬,8,10,4.1,2023.09.03.,5.0,돼지잡내가 하나도 안나고 야들야들 쫄깃쫄깃하니 넘 맛있어요 양념은 조금 달긴 했지만 게속 땡기는 맛!마늘은 넘 기대해서 그런가 그냥 그랬는데 양념이랑 오향이 진짜 맛있었습니다!
K박,32,126,2.6,2023.08.24.,3.0,반반족발 앞다리로 시켜 2명이 먹었습니다. 간이 세고 달았습니다. 꽤 남았지만 포장하지 않았습니다.
ㅊㅊㅊ,18,36,2.8,2023.07.27.,4.0,맛있뜸
이준형,13,51,4.2,2023.06.27.,5.0,
주의해야 할곳을 저장하자,25,62,1.1,2023.05.11.,1.0,
이실환,2,1,5.0,2023.04.16.,5.0,정말 너무 맛있었어요! 또 마늘족발이 너무 향이 깊고 맛있어서 너무 좋아요
bigdda,19,26,4.6,2023.04.16.,5.0,족발 부드럽고 정말 맛있었어요.홍대라 큰기대안했는데 맛있어요
최,5,38,4.1,2023.03.11.,4.0,
mimm,34,238,3.9,2023.02.23.,4.0,정말 맛있는데 조미료가 많이 들어가서 그런지먹고 나면 항상 갈증이 많이 나요물 한바가지 마심ㅠㅠ
Jay,85,"3,044",1.2,2023.01.05.,1.0,소주 및 맥주 5000원
임,26,86,2.2,2022.12.23.,1.0,상추에 돌씹힌다 알바야
동슐랭,51,345,3.6,2022.11.20.,2.0,👍 : 족발을 시키면 묵사발이 서비스. 회식 장소로 적합할 정도의 실내공간과 테이블 간격👎 : 가게 들어서자마자 족발냄새가 나는데 돼지 비린내는 아니지만 그래도 환기좀 시키는게 나을 듯... 옷에 베일 정도다.양념족발의 양념에 고추장맛이 쎄다. 그리고 앞다리상 치고 고기가 퍽퍽한 것 같다.사실 뭔가 밑반찬 퀄리티도 그냥 구색을 맞춘 듯한 느낌.
Tasty Road,62,161,4.4,2022.11.08.,5.0,★★★★★쫀쫀함과 부드러움.
YOLO,25,49,3.7,2022.11.05.,5.0,진짜 너무 맛있음...
Kenneth,3,1,5.0,2022.08.06.,5.0,Best Jokbal I've ever had. The taste of the meat for both spicy and original is awesome. My 2yr old daughter loved the cold noodles and kiddy rice bowl (recommended by the incredibly kind and sincere boss) as well. Owner was kind and attentive enough to let us know it was still raining outside and that we were welcomed to stay as long as like. Even insisted on giving us an umbrella to keep as we leave.Do go and visit this place!!!
띠웅,28,73,4.3,2022.08.04.,5.0,홍대 족발맛집
오이시이,2,1,4.0,2022.06.27.,4.0,맛있음 3명이면 무조건 특대 시키길대자 양 얼마 없었음
시절인연,28,95,3.6,2022.06.18.,4.0,"야들야들한 족발 좋아한다면 후회 없는 곳 기본, 불족 둘다 만족스러웠음!"
