user_name,user_rank,num_response,user_star,time,rating,content
윤선웅,2,15,5.0,2024.04.19.,5.0,
june,11,14,2.9,2024.04.06.,3.0,버거는 맛있는데 화장실이 너무 더러워요. 화장실 문 열려있으면 홀에까지 냄새가 날 정도에요. 버거 먹고나면 손 닦느라 손님들이 화장실 문 자주 여는데 너무 괴로웠습니다ㅠㅠ
sunol,8,13,4.0,2024.03.24.,5.0,
piping,5,5,3.8,2024.01.16.,3.0,없어졌어요…ㅠㅠ
ㅆㄹㄱ,14,14,2.0,2024.01.01.,1.0,손님와도 본채만채 브레이크타임이라고 공지도 안해줘 결제했더니 그제서야 매장식사 안된다고 환불해주겠다고하고 대체 일을 왜그렇게 하는거죠..? 토요일 오후 알바생 진짜 교육좀 다시 시키던지 서비스업이 안맞으면 다른 일을 하던지 하세요
my life,5,7,5.0,2023.12.20.,5.0,맛있어요 ㅎ 2번째 방문입니당
yangyang,25,69,3.7,2023.10.28.,3.0,"에그마니버거계란이 포슬포슬 부드럽다치즈소스 살짝 매콤한게 느끼함 잘 잡아줌베이컨이랑 빵듀 맛잇음진짜 패티 없는데도 괜찮넹미니아침에 먹을 것 같음. 에그드랍 생각남테이스티버거미니쉑쉑보다 풍미(버터+소고기)가 약하지만 덜 기름지고 깔끔한 맛헤비하지 않아서 좀 더 많이 먹을거 같음또니난 쉑쉑처럼 풍미 강한게 내 타입이네확실히 덜 기름지고 깔끔하다. 약간 고급스러운 수제 떡갈비? 후추 향이 진한데 잘 어울린다에그마니보다 모양이 안 망가져서 깔끔하게 먹을 수 임ㅅ음패티 있는애는 가볍게 가고, 패티 없는 애는 헤비하게 가려고 하네?한번쯤은 올만하다!"
불란서부루독꾸,29,164,3.4,2023.10.12.,3.0,가수는 노래를 부르고버거는 버거집에 맡기자
J,5,128,3.8,2023.10.10.,3.0,
아르마다,34,312,4.9,2023.10.04.,3.0,소문처럼 그렇게 맛있지는 않고 먹을만 합니다
ㅇ,8,30,4.2,2023.09.16.,5.0,감자튀김 맛있어요
Jean,5,3,4.0,2023.08.26.,2.0,
언제나청춘,41,564,4.7,2023.08.18.,5.0,부담 없이 가볍게 큰 기대는 하지 말고
궹,12,21,4.6,2023.08.01.,5.0,굿굿
K,9,6,4.0,2023.07.21.,3.0,정석적인 수제버거 맛 이 가게만의 특장점은 느끼지 못함
감귤초코렛,17,35,4.6,2023.07.19.,4.0,
또오해영,18,39,4.4,2023.07.17.,3.0,
JNHolian,2,1,5.0,2023.06.25.,5.0,
MK,47,237,4.6,2023.06.18.,4.0,소문에 거품이 너무 많았음. 특별히 맛있거나 하지 않음. 서빙직원 친절
새롭게,9,18,4.3,2023.06.12.,4.0,
시리즈,6,18,4.4,2023.06.08.,3.0,
김정환,4,4,4.5,2023.05.19.,3.0,저랑 여자친구 입맛에는 조금 느끼했습니다. 그래도 고구마 튀김이 독특해서 맛있고 음식도 빨리나와 좋았습니다
ssfc,7,8,4.5,2023.05.13.,4.0,
!,10,12,2.3,2023.05.08.,2.0,이걸 먹으러 굳이 갈 필요는 없음이 지점은 관리 잘 안되고 있는 것 같다.
초코크로와상,51,324,4.5,2023.05.05.,5.0,맛있네요~ 굿 테이 흥해라
.,9,3,4.0,2023.05.02.,4.0,
진짜 별로거나 좋은 곳만 기록,31,106,3.9,2023.04.12.,4.0,무난한 버거집
주은,12,14,4.3,2023.03.28.,3.0,"회사근처라 정말 오랜만에 방문했는데 맛이 그냥 그래요~ 워낙 주변에 괜찮은 수제버거집이 많이 생겨서 비교되는 것도 있겠지만 패티나 감튀나 너무 짠편이었구요, 트레이에 같이 주시는 피클은 달랑 세조각 ... ㅠ 2-3년전에 비해 사람이 많이 없던데 이유가 있는 듯 합니다."
y,13,99,4.6,2023.03.21.,5.0,
ON,32,87,4.0,2023.03.18.,3.0,고구마 프라이 맛있음버거는 그냥 평범
다람쥐 아빠,5,6,4.2,2023.03.01.,5.0,"맛있기만 하구먼,!"
춘식이,41,244,4.3,2023.02.26.,2.0,가게 너무 지저분한데 냄새도 나요...맛도 없어요 .....
Jay,11,19,3.3,2023.02.24.,2.0,맛이 변했어요... 초창기엔 더 맛있었는데 단가 생각하면서 퀄리티를 낮춘 느낌이에요 ㅠ 아쉬워요
미,35,143,4.2,2023.02.19.,4.0,"수제버거라서 가격이 좀 있는 편인데가격에 비해서는 좀 아쉬웠습니다..에그마니 버거는 그냥 에그*랍가는 걸 추천 ㅠ크라켄 버거도 맛있긴 한데.. 단품에 11,500원이라...흠.."
100,13,24,3.2,2023.02.17.,3.0,테이 사장님. 도어 스토퍼 좀 달아주세요. 매장이 쿵쿵 울려요.주문메뉴: 테이버거- 패티 짭짤하게 맛있음- 양은 보통- 서비스: 2.0/5.0
맛집다모여,17,29,4.0,2023.02.16.,4.0,"테이 좋아하는 남자친구로 인해 세번째 방문입니다...테이는 한 번도 못 봤어요ㅋㅋㅋㅋㅋ역시 덕계못인걸까요하지만 버거가 맛있어서 불만은 없어요!에그마니 버거는 jjjmt!!!! 스크램블에그 부드러워요테이스티버거는 jmt 조화로운 맛?크라켄버거는 맛있어요 오징어 패티가 독특해요차이나는 버거는 죄송하지만...별로에요ㅋㅋㅋㅋㅋㅋ분명히 또 가자고 할테니ㅋㅋㅋ다음에는 더블치즈랑 통치킨버거 먹고 싶어요~+4번째 방문할 때는 더블치즈를 먹었는데 맛있네요! 근데 흔하게 맛있는 미국식 버거맛이라 특별히 존맛!은 아니에욤ㅎㅎ+5번째 방문에는 베리나이스를 먹었는데 쏘쏘~ 단짠단짠 특이한 맛이라 먹어볼만 해요.———————————————-완전추천: 에그마니추천: 더블치즈> 테이스티> 베리나이스, 크라켄별로: 차이나는---아니 근데 23년에 가니 화장실 냄새가 왜 이리 심각하죠? 개선이 시급합니다... 밥맛 떨어져요. 별 하나 뺌.주차는 근처 유료공영주차장이나 앞에 광장? 운 좋으면 자리 있어요."
