user_name,user_rank,num_response,user_star,time,rating,content
5G,23,462,3.8,2024.04.21.,5.0,
나는 자유로운 영혼,23,35,2.9,2024.04.19.,3.0,파블로바라는 것.. 내 스타일은 아니었다. 덜 단 머랭쿠키 맛 + 콩고물 아이스크림
무쵸인,8,9,3.4,2024.04.19.,5.0,평일에가서 사람도 많이 없었고 친절하셨습니다 ㅎㅎ 일단 디저트가 너무 맛있었어요. 다음에 또 방문할것같아요~
됒잉꾹뺍,14,15,3.6,2024.04.10.,1.0,파블로바 재료소진으로 1시간 후에 주문 가능하대서 기다렸어요.. 기다렸다 시간 맞춰 오니까 주문이 밀려서 30분을 더 기다리라네요? 전화 드렸을때 지금 오시면 주문 가능하대서 기껏 갔더니 30분을 더 기다리라니요.. 전화 드렸을때 지금 오셔도 30분 이상 기다리셔야 한다고 얘기를 해주셔야 되는거 아닌가요? 1시간 반을 기다렸는데 죄송하단 말 한마디도 없고 참 알바생 교육 다시 시키셔야겠네요
해파리,31,128,4.3,2024.04.04.,4.0,파블로바 5점 음료-2점 기본점수1점이요
Ivan,14,29,4.2,2024.03.29.,1.0,Asking to order more
서현,9,5,3.6,2024.03.27.,3.0,생과일 피블로바: 피블로바 처음 접해봤는데 맛있음. 식감이 좋고 입에서 사르르 녹는 느낌임. 생각보다 달지 않고 생크림이 단맛이 정말 적음. 뒷맛에서 살짝 느껴지는 정도임. 우유향이 많이 남. 호불호가 갈릴 듯한 생크림. 개인적으로 호는 아니었음. 루이보스 차: 진해서 좋았음. 무난한 차.
🤠,22,180,4.5,2024.03.24.,3.0,
웅개,21,65,3.2,2024.03.18.,3.0,"화장실 더러워, 청소좀 자주 해줘요"
삐,17,20,3.2,2024.03.13.,5.0,"서비스가 정말 별 다섯 개 아깝지 않을 정도로 좋다고 생각한 카페예요☺️🫶 아이스 아메리카노 잔에 금이 가있어서 자꾸 커피가 새길래 음료를 다른 곳에 옮겨주실 수 있는지 부탁드렸는데, 아예 새 음료를 내주시더라고요! 조금 많이 당황스러웠지만(ㅋㅋㅋ) 친절한 서비스에 감동받았어요~! 파블로바에 올라가는 과일이 좀 더 다양했다면 아주 만족스러웠겠지만 나름 그럭저럭 괜찮았어요"
채민지,3,2,4.5,2024.03.09.,4.0,홍대 앞 파블로바 카페입니다파블로바가 맛있고 좌석도 있는 편이지만 처음 방문하시면 문이 투명하지 않은 벽 같은 회전문? 형식이라 조금 불편하실 수 있습니다음료와 디저트는 모두 맛있어요!
연두,22,66,4.3,2024.02.05.,5.0,"생과일파블로바 맛있고 가성비 괜찮습니다. 크기도 꽤 크고 너무 달지 않아서 좋았고, 과일도 꽤 풍부하고 크림도 나쁘지 않고 주문할 때 머랭 굽는 모습도 볼 수 있어서 재미있었습니다. 내부에 화장실 있어서 편했습니다! 아메리카노는 평범해서 재방문할 기회가 생기면 다른 차 종류를 시도해볼까 합니다.자리가 꽤 많은 느낌이라 평일 낮에는 충분히 이야기 나누는 데도 큰 부담 없었습니다. 저녁이나 주말에는 웨이팅 있을 것 같습니다."
멍멍,29,94,4.5,2023.12.28.,5.0,애플유자차 정말 맛있네요 4시쯤에 방문 했는데 파블로바는 못먹었어요 5시쯤에 나온대요! 다음에도 오면 애플유자차 또 시킬거 같아요!!
김하민,20,52,4.1,2023.12.22.,4.0,"비주얼만 보고서 칼로리지옥인 줄 알고 약간 죄책감 들면서 먹었는데, 예상과 달리 전혀 단맛으로 육탄공격하는 디저트가 아니었고 맛에 꽤 자기 주장이 잘 깃든 접시였다. 파블로바의 제조 과정을 잘 모르는 상태에서 감히 비싼 느낌을 받기는 했지만 되게 재밌게 맛있었음."
기ㅁ지으ㄴ,64,176,4.0,2023.10.24.,4.0,제가 갔을 때 남자직원 2명이었는데 친절했어요.실내 테이블과 실외 테라스에도 테이블이 있어요. 딸기라떼가 설탕범벅 단 맛이 아니라서 좋았어요! 파블로바가 신기해보여서 주문했는데 겉은 머랭?마카롱? 식감이고 속은 부드러우면서 쫄깃한? 식감인데 맛있어요. 대표 디저트이니 한 번 먹어보면 좋을 거 같아요.
Emerald,11,15,4.1,2023.10.21.,1.0,파블로바는 맛집인데 알바생이 말귀 못 알아듣고 맹하다는건 공감가요 처음 갔을땐 사람 없어 괜찮았는데 파블로바 먹으려면 그시간에는 안한대서 안내해준 시간 맞춰서 다시 갔더니 그제서야 품절이라고... 이럴거면 미리 말해주지 나중에 다시 온다고도 말했는데 넘 황당했어요
굴자,27,85,3.6,2023.09.27.,4.0,분위기 좋고 파블로바가 여타 디저트집보다 덜달아서 좋았습니다. 크림에서 우유향이 많이 나지 않아 조금 아쉬웠습니다
뭐람,32,100,4.1,2023.09.16.,1.0,불친절하고 안내도 제대로 안해줘요. 일단 알바생이 말을 못알아듣게 해서 … 웨이팅이 있다는건지 없다는건지… 그리고 파블로바 재료 소진이면 앉았을때 안내해줘야 하는거 아닌지? 사실상 그거 먹으려고 오는건데 ㅋㅋ주문하려 포스에서 기다리고 앞에 오니까 그제서야 파블로바 재료준비중이라 (토요일인데?;;) 5시15분이었는데 “6시부터 준비끝나니까 6시 10분에 주문이 들어간다” 통보..ㅎㅎ 양해부탁드리는 말조차 없음ㅋㅋ열받아서 그냥 나와버렸네요 알바생 좀 바꾸던가 주말에는 재료수급 좀 넉넉하게 하세요 뭐하는지 진짜
뿌깅,18,12,4.7,2023.08.22.,4.0,둘이서 먹기에는 죠금 느끼했지만 인절미파블로바는 짱이엇다
치즈토끼,33,259,4.4,2023.08.18.,4.0,흔하게 먹는 디저트가 아니라 좋았습니다 맛도 괜찮고요근데 화장실이 남녀공용 1개이고 깨끗한 느낌이 아니라 아쉬워요 ㅠ
맛집러,32,138,4.1,2023.07.29.,5.0,꼭 먹어봐야 할 디저트가 있는 집
