user_name,user_rank,num_response,user_star,time,rating,content
everydayhappy,14,43,3.7,2024.04.21.,4.0,무난하게 맛있는 카레와 친절하신 직원분들
랴미,33,100,4.9,2024.04.09.,4.0,평범한 카레집... 진하게로 시켰는데 그닥 진하지 않아서 아쉬웠어요ㅠㅠ 그냥 적당히 한끼 먹기에 좋은 식당 혼밥하기는 편할 것 같아요
냐옹,18,88,3.8,2024.04.08.,5.0,
와따나베,10,16,3.0,2024.04.02.,5.0,카레도 카레지만 돈까스가 진짜 맛있음 돈이 아깝지가 않음
올리숑숑,14,35,4.4,2024.04.01.,5.0,10번 정도 방문했어요. 겁나 맛있고 조용하고 친절해요. 항상 가면 과식하고 와요 ㅠㅠ
*,4,14,4.1,2024.02.28.,3.0,
하은,1,1,5.0,2024.02.07.,5.0,진짜 학생이라고 무시 안하고 사진까지 찍어 주시는 사장님 센스! 맛도 좋음!
룡식이,4,18,4.2,2024.02.06.,4.0,
올챙이,21,64,3.5,2023.12.10.,5.0,"카레 좋아해서 자주 가는 곳이에요. 밥 양과 맵기를 선택할 수 있어서 좋아요. 튀김류도 다 맛있고, 분위기도 좋아요. 가성비도 좋아서 자주 애용하는 곳입니다."
SAng WOn,17,51,3.9,2023.10.12.,2.0,평범하다 멀리서 굳이 찾아올 정도는 아님 직원이 주문 체크 잘못해서 영수증에 가격 잘 못 찍힘
팥쥐,21,32,3.7,2023.10.03.,2.0,"카레에서 특별함을 찾는 내가 이상한건지 모르겠지만, 익숙한 인스턴트 맛이 느껴지는 카레. 토핑 추가 할때마다 돈을 내는데 넘 비싸서 하나도 안 넣음. 토핑 없이도 비쌈. 카레가 그렇게 먹고싶으신 분들은 편의점에서 3분 카레 사서 먹는게 모든 면에서 좋을듯. 다른 사람들 평이 이상하게 좋은것 같아 낮게 줌."
정유림,7,10,5.0,2023.09.04.,5.0,
