user_name,user_rank,num_response,user_star,time,rating,content
라이미,63,178,4.4,2024.03.11.,5.0,"금요일 저녁이라 사전에 전화예약하고 방문 했습니다. 찹쌀공을 비롯해서 사전에 예약주문해야만 먹을 수 있는 메뉴도 있으니 참고하세요! 저는 찹쌀공은 예약을 못했지만 가격 이 2만원으로 사악하니, 이벤트성으로 한번 먹어볼 것 아니면 추천하지는 않습니당! 사진은 순서대로 <마라크림 새우> <바질쇼마이><부추새우딤섬><소룡포><홍쇼육덮밥><토마토탕면> 입니다. 저는 대체적으로 훌륭한 맛이라고 생각해요! 가격대가 있는 편이지만 음식이 빨리 나오고 서비스도 훌륭했습니다. 다음에 서촌점에 간다면 못먹어본 다른 메뉴 먹어볼 의향 있습니다!!"
김지훈,2,6,5.0,2024.03.02.,5.0,
장성오,1,1,4.0,2024.02.27.,4.0,전에 어머니 모시고 갔는데분위기 맛 좋았어요아내가 직장 선생님과 같이 간다하네요
정복하겠다,14,123,4.1,2024.01.22.,2.0,
붕어빵,46,432,3.6,2024.01.17.,2.0,딤섬보다는 요리가 더 맛나네요. 딤섬을 주로 먹으려면 다른 곳이 나아요. 주차도 큰차는 못하는게 단점
감사하며,23,56,4.4,2023.11.27.,5.0,3가족 5만원 코스에 좋아하는 창펀 추가가성비 너무 좋아요양도 많고  깔끔하고 이국적인맛 좋았어요^^
한정태,2,5,3.0,2023.11.24.,1.0,
True Reviews,8,22,3.3,2023.10.27.,5.0,친절하고 맛있어요~^^!! 방문하지도 않고 별점 테러하는 분들 너무 하시네요 ㅠ
플러스가이,15,43,4.2,2023.10.09.,2.0,방송의힘. 그냥 그런 맛. 근데 많이 비쌈.
왠만하면 4점 줌,44,340,4.0,2023.10.08.,4.0,여기 분위기 좋고 맛도 기본 이상함
청춘사진관,34,335,4.8,2023.09.30.,3.0,친절하고 맛있어요.
피자,15,32,3.0,2023.09.16.,1.0,마늘등갈비? 진짜최악의메뉴 새우들어간다는 설명도 안써있고 일행 새우알러지있는데 기본적으로 맛이없고 등갈비에 밑간도 안되어있음 밖에있는게 마늘인줄 알았는데 빵가루에 보리세우? 돼지랑 안어울리고 밖은짜고 안은싱겁고 뼈있어서먹긴불편하고 이렇게 맛없는요리 처음먹어봄
solid,4,18,3.5,2023.09.09.,3.0,
TS,18,102,3.8,2023.08.30.,4.0,"가격은 싸지 않지만, 세트로 먹은 어향완자가지와 딤섬 몇 가지는 맛있어서 또 방문할 생각입니다."
김민규,3,2,3.0,2023.07.23.,4.0,
m10,10,190,4.3,2023.07.20.,3.0,
mkim,17,21,4.7,2023.07.16.,5.0,입구가 대로에 없으며 뒤로 돌아가야 합니다.음식들도 좋았고 특히 향이 좋은 백주와 함께하니 더 좋았습니다.
눈이부시게,46,538,1.6,2023.07.15.,1.0,당나귀보고옴.  방송컨셉? 아닌듯! 카메라 있는데도 저러는데 없으면 얼마나 쥐잡듯이 하겠어?  여자사장 인상이 너무 안좋고 막내직원한테 반말하는 직원도 별로임
.,8,12,4.0,2023.06.25.,5.0,방송에서 보여지는 모습은 컨셉이고 쉐프님 직원님들 되게 친절하심.사진 요청해도 So Cool ㅋㅋ딤섬 한입에 넣어 먹으면 육즙 터지는게예술~~!!!!
김도연,2,1,4.0,2023.06.23.,4.0,
쁘띠꾸숑,37,121,3.3,2023.06.19.,2.0,분위기 위치 서비스 전부 다 좋은데 맛이 별로..
LUISE,15,20,3.6,2023.05.25.,4.0,일단 분위기 훌륭합니다!모던한 느낌이 물씬 풍기는 매장 인테리어에요.이날 코스로 시켰는데 다양한 요리를 즐길 수 있어서 좋아요맛도 좋고 양도 생각보다 푸짐해서 배부르게 먹었어요.직원분들도 친절해서 좋았습니다!
llloooll,5,20,3.0,2023.05.07.,1.0,"음식의 맛과 성격이 비례할줄 알았던 착각.최고의 음식을 위해 예민한 성격을 가진 쉐프가 아니라, 그냥 성격만 더러웠던걸로.매우실망스러운 맛."
유미,7,9,1.2,2023.04.04.,1.0,가격 대비 퀄리티가 못 따라와요.
12338473,15,62,3.4,2023.04.01.,1.0,반숙을 할 줄 모르면 그냥 메뉴에서 빼면 좋겠다. 누군 반숙인데 누군 완숙이고 누군 또 날달걀 ㅋㅋㅋㅋㅋㅋㅋ 그리고 음식은 온도도 중요한데 그것도 못 맞춤
유진,9,7,1.4,2023.03.26.,2.0,"음~중국에서 10년 이상 살다와서 매번 다른 집딤섬 먹고 실망이 이만저만이 아니라 기대를 가지고 방문했고 기본인 부추 새우 수정교자, 날치알 수정교자,바질 샤오마이,마라 교자,창펀,꿔바로우.토마토탕면 시켰는데  우선 딤섬 특히 부추 새우 수정교자 피도 소도 훌륭했다~나머지 딤섬들은 무난했으나 개인적으로 바질 샤오마이는 불호였다~새우맛이 잘 느껴지지 않을정도로 바질향이 좀 과해서 개인적으로 아쉬웠음!토마토탕면은 내가 중국서 먹던 맛과는 큰 차이가 있었고 탄탄면 맛에 더 가까웠다~면양에  비해 국물 너므 적어서 나중엔 면이 국물을 잔뜩흡수해서 간이 너무 짜져서 못먹음~!꿔바로우는 솔직히 별로였음~바삭함이나 쫀득함이 약하고 소스도 너무 평범~!마지막에 뭔가 아쉬워서 창펀 추가했는데 와우~내눈을 의심 했음~진심 누가 먹던거 준줄  알았음~~이건 내가 중국에서 먹던 창펀과 비교해서 하는 얘기가 아니라 정말 얇고 비루한 사이즈 3개 안에 다진 고기가 들어간다는데 눈씻고 봐도 고기는 거의 안보이고 맛도 안남!!아 진짜 솔직히 이건 오너 셰프가 양심없다고 생각함!! 딤섬 이나 중국 생활경험이 없으면 만족도가  더 높을순 있겠지만 창펀~~이건 아니잖아요~!! 조만간 내생파 계획하고 미리 방문해서 맛본건데 재방문 의사 없어짐!!! 입구 찾기도 너무 어려웠음!"
소소한 일상,15,16,4.4,2023.02.23.,1.0,우선 한번 갈만한집!딤섬 맛집이라고 했는데 딘다이펑 가는게 나을것 같고 세트를 시켰더니만 순서도 엉망진창에 중간에 다른 요리 추가로 넣으니까 홀이랑 주방이랑 소통안되서 20분이나 음식 안나옴 방송에나온 쉐프님 요리하시느라 정신없으신거 인정하지만 2월 17일도 어디서 방송해서 그런지 정신없고 기존 손님들을 전혀 신경 못쓰는건 같음 한번가고 말집
훔냐,29,87,3.0,2023.02.16.,1.0,한시간 더 일찍 출근시키고 싶으면 돈을 그만큼 더 주세요 언제적 열정페이를 요구하시는지.. 직원들 사생활 침해도 그만하세요
Lee,23,50,4.4,2023.02.12.,5.0,
위드,22,38,2.8,2023.01.26.,1.0,직원에게 함부로 하는 곳은 망해야 딴데는 안그럼
박기영,4,8,3.5,2023.01.21.,1.0,TV방송 시청 후 방문함. 다시 가고싶은 마음이 전혀 없어요.
.,7,5,1.8,2023.01.20.,2.0,주차 불편 주차 등록도 한시간밖에 해주지 않아 추가 비용지불하라고 불쾌한 경험
너나,21,36,4.3,2022.12.02.,5.0,"맛 좋고, 친절하니 좋습니다.룸에서 먹음 조용히 식사할 수 있어 좋고,홀은 높은 천고로 개방감 느낄 수 있어 좋습니다."
이은호,11,15,4.9,2022.11.22.,5.0,부추수정교자 짱짱⭐️짱짱맨⭐️짱짱 🥟🥢🤩
동안마녀,17,33,2.2,2022.09.22.,2.0,"딤섬 맛은 보통, 해물볶음면은 이 맛도 저 맛도 아닙니다. 두번 갈 식당은 아니네요."
이예진,2,1,5.0,2022.09.21.,5.0,마늘등갈비 꼭 드세요~! 딤섬들도 정말 맛있네요분위기도 짱! 데이트 코스로 추천해요~
왕짜,23,61,5.0,2022.09.08.,5.0,부추수정교자는 꼭 드세요...!!!! 어향육사덮밥도 맛있어요!!
