user_name,user_rank,num_response,user_star,time,rating,content
룰루,23,92,4.1,2023.12.29.,5.0,두번방문! 너무 맛있어요. 시어머님도 좋아하셨음😀
팽도리,16,24,4.7,2022.11.11.,5.0,"생각보다 아담하고 조용해서 너무 마음에 들었어요 천장 진짜 독특하고 예뻐서 사진 잘 나와요! 바닥에 흰자갈 깔려있는것도 이쁨 직원분들 넘무 친절하시고 설명도 잘해주셔서 진챠 좋았어여,,ㅠㅠ 오레그라세 주문했는데 씁쓸 달달해서 너어엉무 맛있었어요 나올때 너무 아쉬웠음 또 갈거에여♡"
맛있는거만좋아함,61,319,3.8,2022.07.28.,5.0,디저트 음료 분위기 친절 중 한가지도 빠지지 않는 최고의 카페입니다꼭 다시 가고싶어요!
사월,8,32,4.7,2024.04.24.,5.0,
레이지,18,76,3.5,2024.04.13.,3.0,넓은줄 알았는데 생각보단 작은 동네 카페였음
저믿으세요 돼지에요,8,59,4.1,2024.02.24.,3.0,
쩝쩝,6,9,3.7,2024.01.29.,4.0,
됴,24,104,4.1,2024.01.24.,4.0,와우와우 이런 곳이 있다니. 인테리어도 멋지고 커피도 맛있어요. 디카페인 가능❗️
나진짜먹는거좋아해,25,85,3.9,2023.11.01.,4.0,솔직히 라떼가 내취향은 아니긴한데 취향과 상관없이 충분히 맛있었음 또가야지🥰
김진우,14,20,2.8,2023.10.16.,4.0,현재 최애 카페
노란눈펭귄,29,72,4.5,2023.10.09.,5.0,소금초코라떼 먹으러 옵니다 🍫🍫특이한 인테리어는 덤
스티치,54,860,4.2,2023.10.09.,5.0,
sorindragan,2,8,4.6,2023.08.25.,5.0,
(거의)좋은곳만 리뷰함,23,105,4.4,2023.08.10.,4.0,오며 가며 들리기 좋음. 음료는 특별하지 않았어요
음움음,12,12,4.5,2023.08.01.,5.0,쿠키 정말 강추입니다 꼭 주문하세요 ㅎㅎ 분위기 좋고 음악 선곡도 좋습니다.
tricky coffee lover,32,86,3.3,2023.07.30.,4.0,커피는 무난한 편인데 까눌레가 참 맛있었어요!분위기는 말모 🥰
음음,50,948,3.1,2023.07.26.,3.0,공간이 조용해서 좋았던. (3.5)
알리야,15,20,4.7,2023.07.08.,5.0,좋았어요. 가격도 괜찮아요. 생각보다 작아요
WENDY,22,77,4.1,2023.06.21.,5.0,커피 맛도 좋은데 넘 친절하세요
랄라,12,13,4.4,2023.06.14.,5.0,커피원두도 다양하게 고를 수 있고 맛있어요.케이크도 입에서 녹네요 사장님 친절하셔서 또 가고 싶어요!!
뇽뇽이,41,218,4.2,2023.05.10.,4.0,천장이 정말 독특했던 카페.. 커피는 무난했고 휘낭시에는 좀 비쌌음.. 내가 갔을때 단체 손님이 왔었는데 진짜.. 너무 도가 넘게 시끄러워서 도망치듯 나왔음 ^^ 아쉽다
이동윤,35,83,4.6,2023.04.27.,4.0,"아이스크림라떼는 커피 맛이 좀 연했고,에티오피아 두완초는 구수하면서 베리맛이 잘나네요!내추럴한 우드 인테리어가 독특했고,조용하게 대화하기 좋았습니다🙂"
