user_name,user_rank,num_response,user_star,time,rating,content
숳헣닣,12,9,5.0,2024.03.13.,5.0,친절하게 설명해주시고시그니처 칵테일이 인상적이었습니다 😆재방문 하고 싶은 곳!
맛있는거 좋아해요 근데 까다로워요,20,29,3.6,2024.03.08.,5.0,원하는 맛 원하는 향 친절한 바텐더분들 모든게 기대이상 여기 갓다가 다른 바 가면 실망하니 조심해야함
김뇽뇽,10,25,4.5,2024.03.05.,5.0,지금까지 마셔본 시그니쳐 메뉴는 전부 맛있었어요 친구들이랑 술얘기 나오면 꼭 추천하는 곳이에요
아지라이더,21,47,3.9,2024.02.27.,5.0,아름다운 기교가 있는 칵테일바 페더.같은 마티니 솔티독이여도 맛이 아름답다 라는 것이 무슨 의미인지 알게 되는 경험을 하게 되시리라 믿습니다.
징,15,32,3.4,2024.02.22.,5.0,대박입니다….
호호홍,6,39,3.9,2024.02.21.,5.0,
겨울,31,107,4.2,2024.02.02.,5.0,분위기 좋고 친절합니다.
조지숙,7,4,5.0,2024.01.23.,5.0,칵테일바아쉽게도 저는 술을 못 마셔요. 논알콜이 있지만 그런것도 딱히 좋아하지 않아요. 하지만 같이 간 친구들이 맛있다고 했어요.
햇살,15,55,5.0,2023.10.15.,5.0,많은 분들이 좋다고 한 곳은 이유가 있는 것 같습니다.너무 만족스러운 시간이었어요:)
애플민트,34,303,4.7,2023.10.02.,5.0,데이트 코스로 분위기 좋은 칵테일빠
메소드맨,11,14,4.6,2023.10.01.,5.0,상수 페더! 따뜻하고 유쾌한 바텐더님들이 계시는 곳입니다. 정말 친절하시고 귀여우세요. 음료도 잘 만드셔서 좋은 시간 보냈습니다. 👍
현,6,9,4.6,2023.09.22.,5.0,
마지막 탄피,13,32,4.9,2023.09.22.,5.0,상수의 그 지하 바……칵테일 맛은 물론이고 서비스가 정말 좋았습니다! 여성 바텐더분 대화하기 정말 편했어요.
루나,12,114,3.1,2023.08.12.,5.0,
카1,11,20,5.0,2023.05.06.,5.0,가지마세요. 저만 갈거니까.ㅋㅋㅋ 여긴 항상 생각나요
박주원,22,90,5.0,2023.04.27.,5.0,"분위기, 맛, 서비스 셋 다 쵝오!"
오마오마갓,4,4,5.0,2023.04.09.,5.0,
Alinda,14,13,3.2,2023.03.10.,5.0,매번 갈 때 마다 만족도가 너무나도 높은 바입니다! 심지어 음식들도 다 미쳤어요… 배고플 때 가서 이것저것 시켜놓고 술 마셔도 넘넘 좋습니다👍🏻👍🏻
sowow,3,8,4.3,2023.03.08.,5.0,흔치 않은 라인업 친절한 사장님 편안한 분위
ON,32,87,4.0,2023.02.26.,5.0,지인 데리고 갈때마다 모두 만족하는 곳
맛있는곳만리뷰씁니당,17,24,4.8,2023.02.06.,5.0,"칵테일바 찾다가 별점이 높길래 방문했는데 높은 이유가 있는 곳이었습니다!원하는 도수랑 맛을 말씀드리고 시그니처 칵테일 중에서 추천받았는데 네 잔 모두 너무 만족스러웠습니다ㅠㅠ 주문한 시그니처 칵테일 중 한 잔이 재료 수급이 안되어서 비슷한 느낌으로 만들어 주신다고 하셨는데 넘 맛있었어요ㅎㅎ그리고 조용하고 분위기 좋고, 직원 분 모두 매우 친절하십니다!맛, 분위기 등 전반적인 모든 요소에서 방문해 봤던 칵테일바중에 손에 꼽을 정도로 만족스러웠어요:D 홍대 갈 일 생길때마다 방문할 예정입니당♥"
약쟁이,26,90,4.9,2023.01.30.,5.0,
