user_name,user_rank,num_response,user_star,time,rating,content
맛집탐방아티스트,47,413,4.3,2024.04.18.,4.0,생각보다 작은 공간. 딸기 케이크 테이크아웃만했음. 정사각형 모양에 9000원이라는 어마무시한 가격을 견뎌야한다너무 간단하게 만든 시트인 것 같은데딸기는 시큼할 뿐인데입에 사르르 녹아 맛있다
대환,6,29,1.3,2024.04.15.,1.0,
김교진,11,11,4.5,2024.04.01.,5.0,딸기케이크가 맛있다!! 허나 테이블이나 의자가 좀 불편한감이 있네요ㅜㅠ 테이블에 자꾸 무릎을 찧는..ㅜㅠ하지만 딸기케이크는 인정입니다
도월,13,34,3.5,2024.02.01.,5.0,20대 초중반에 자주 갔었는데 10년이 지난 아직 자리 지키고 있는 딸기 디저트 맛집.. 앞으로 10년 20년 꾸준히 있어주세요
빠박,3,29,2.9,2024.01.19.,5.0,
banana lizard,25,79,3.2,2023.12.07.,3.0,"마카롱 포장시 해동하고 드세요!마카롱말차, 바닐라, 해이즐넛 - 덜 달았으면 좋겠어요.다크 초코 - 맛있어요!마들랜 - 꾸덕해서 낮설었어요take out macarons are from the freezer so make sure you defrost them properly!macarons:matcha, vanilla, hazelnut - too sweetdark chocolate- perfect!madeleine - thick consistency threw me off"
Eun,10,11,4.3,2023.08.27.,5.0,
고운,35,144,4.8,2023.08.09.,5.0,크림맛집이에요!!크림들어간 메뉴들 맛있고 녹차쿠키도 맛있어요!!
두더지,19,27,4.7,2023.08.07.,5.0,"딸기 케이크 크림이 부들부들부들부들봄에 가면 더 맛있어요매장은 일층 에스컬레이터 옆에 있는데, 길쭉하고 아늑한 다락방 느낌. 단체로 가기는 조금 힘들어요"
@ㅏ리엘,7,19,3.5,2023.08.03.,4.0,딸기스무디 ㅊㅊ
박지선,23,64,3.8,2023.08.01.,3.0,딸생케 조각 후기:크림이 참 가볍고 좋은데딸기는 아무래도 철이 아니어서 논외라고 치고빵은 롯데 카스타드 정도로 약간 건조한 질감?딸생케는 딸기 빼고 전체적으로 사르르르 녹아야 제맛인지라  아쉬웠습니다.
일자일먹,18,17,4.9,2023.07.09.,5.0,딸기케이크 미친맛..너무 맛있어서 먹고 또 포장해서 집감레몬에이드
우디,71,792,3.9,2023.06.30.,3.0,호옷 딸기케이크 너무 기대를 했나 ㅠㅠ 기대만큼은 아니었어효..!
.,6,79,4.8,2023.06.26.,5.0,
별점으로만판단한다,11,26,4.3,2023.05.14.,5.0,홍대 다른 유명한 곳들 중에서 여기가 제일😋
.,11,9,4.2,2023.03.05.,5.0,딸기생크림케이크 정말 맛있어요
냉철한입맛,43,503,3.7,2023.01.15.,5.0,딸기생크림케이크 맛있음사장님 친절하심 픽업도 하기 좋아요
LLAP🖖,21,53,4.6,2023.01.08.,4.0,딸케 크림이 느끼하지 않고 맛있음! 다만 시트가 촉촉~축축함의 사이. 그래도 크림이 가벼워 좋았어요 순삭
도넛박사,17,33,4.4,2023.01.01.,5.0,편안한 분위기와 맛있는 디저트👍여름에 갔을 때 모기가 좀 많긴 했는데 그때 빼고는 항상 만족했어요
참수리부엉이,6,16,4.8,2022.12.12.,4.0,좋아요
bada,62,615,4.2,2022.11.19.,4.0,공간 넓고 케익 부드럽고 맛있었어요. 다만 문을 열어두고 있어서인지 모기밥이 되었네요....
덕칠순,15,23,3.7,2022.11.01.,4.0,20년 장수한 가게라고 해서 많이 기대하고갔는데 시트 식감이 뭔가.. 휴지같기도 한게.. 부족했네요ㅠㅠ 크림은 맛있었어요!
매니페스토는 등급제O 퍼센트x,27,130,4.1,2022.10.11.,5.0,처음 가본지 20년쯤 됐네요. 다양하게 맛있습니다!
🧐,12,29,4.6,2022.10.06.,5.0,딸기케이크 맛있더라고요 동물성크림 특유의 맛이 잘 살아있어요 홀케이크 퍼먹고싶을때 사갈거예요
발발이치와와,9,39,3.9,2022.08.24.,3.0,
땅땅,4,10,3.4,2022.05.31.,5.0,
jisu,25,212,4.7,2022.05.19.,5.0,
영시,8,21,4.9,2022.03.22.,5.0,마포 딸케 원탑
MJay Ko 고 민정,89,"8,538",3.3,2022.03.21.,3.0,Strawberry Cake & Milk Tea
사자,27,93,4.0,2022.02.22.,5.0,먹어본 딸기케익중 존맛시트가 부드럽고 크림도 부드럽고
000,33,204,4.1,2022.02.19.,4.0,케이크의 시트 식감만 어떻게 하면 정말 정석적인 딸기케익일듯ㅜ 빵이 입안에서 바스라지는 느낌이 좀 거슬리는거만 빼면 달거나 느끼하지 않고 맛있었습니다:)) 커피도 산미 없고 케이크랑 먹기에 찐하고 좋았어요!
봉봉,26,102,3.6,2022.02.10.,4.0,20년 가까이 한결같이 맛있음.여긴 딸기케이크보단 초코무스가 찐임.
쨈쨈,4,2,5.0,2021.11.29.,5.0,좋아하는 곳!월요일 휴무니까 참고하세용
맛있구나,77,"1,446",3.7,2021.10.31.,4.0,딸기생크림케이크가 유명하고 맛있다. 굳이 비교하자면 다른 곳보다 생크림 비율이 좀 더 높은 편이라 크림을 안 좋아하는 사람은 느끼하다고 할 수도 있다. 매장에서 먹은 딸기무스케이크도 맛있었다. 음료가 예쁘게 나오는 편이고 성당 앞이라 조용한 편이어서 분위기도 좋다.
😈😈😈,8,7,5.0,2021.10.30.,5.0,딸기 생크림 케이크 너무너무너무너무 맛있어요 생크림이 느끼하지 않고 많아요
허니,19,54,3.5,2021.09.28.,5.0,내 인생 딸기 케이크 너무너무 맛있어요얼그레이도 무난무난하니 맛있습니다
김사과,11,82,4.0,2021.06.04.,5.0,
불주먹,6,39,3.8,2021.05.11.,5.0,
김은진,11,12,4.1,2021.03.28.,5.0,정말 좋아하는 카페... 카페가 많이 넓은 편은 아니지만 아늑하고 소란스럽지 않아서 정말 좋아합니다 편하게 쉬어가는 곳이에요 홍대 다니다가 마땅히 갈 카페가 없으면 딱 생각나는 곳이에요 음료도 맛있고 딸기케이크가 정말 맛있어요 ㅎㅎ 오래오래 장사 잘 되셨으면 좋겠습니다
성재,4,4,3.8,2021.03.28.,5.0,분위기 좋아요
매생이,38,253,3.9,2021.02.07.,5.0,피오니보다 여기가 더 맛있었어요크림 대박 맛남
유한빛,4,4,5.0,2021.01.15.,5.0,가족들이 극찬함 다음에도 사가야지
먹는게제일좋아,19,35,3.3,2020.12.26.,3.0,"soso,,딸기케익에 딸기는 많이 들어있진 않음부드럽게 사르르 녹는 생크림은 맛있었다"
눈의띠네,33,555,3.8,2020.10.29.,3.0,딸기 생크림 케익 무난하게 맛있음
🤔,29,82,3.0,2020.07.08.,5.0,"딸기 조각 케이크 : 7,500원딸기 미니 케이크 : 20,000원딸기 1호 케이크 : 30,000원딸기스무디: 5,000원딸기 케이크 무난, 딸기 스무디 맛있음"
S. Kim,45,"1,148",3.5,2020.05.16.,2.0,딸기케잌은 피오니로 가세요. 하이엔드를 맛보실거면 델리카한스
링컨,57,"1,048",3.5,2020.05.15.,3.0,딸기케이크 맛있네요
꿍,24,70,2.7,2020.04.07.,3.0,빵이랑 크림이랑 따로 놀고 빵이 부스러져요 가성비 가심비 다 아쉽....
Minh-😈,15,25,4.6,2020.04.03.,5.0,앞으로도 건강하셔서 맛난 케이크 만들어주세요~
별점조작은말없이1점,57,475,2.9,2020.03.30.,3.0,후기에 딸기케이크 말이 너무 많고 평이 좋아서 먹어봄. 확실히 일반체인점보단 나은 것 같음. 근데 빵을 당일날 만든건지 어제만든건진 몰라도 빵식감이 동일하지가 않았음. 안과 밖이. 카스테라 수분뺀느낌이랄까... 도쿄맛집들에서 딸기케익들을 너무 맛있게 먹어서인지 여기가 평범한건지..딸기케이크 맛나기가 힘든걸 알아서 큰기대는안했지만 크림도 그냥저냥... 이 가격에 이정도 맛은 별로...
ㅇㅅㅇ,35,724,4.0,2020.01.28.,5.0,딸기케이크 존맛탱
fowj,33,137,4.1,2019.12.23.,3.0,딸기케이크 맛있음~그리고 공간이 잘 분리되어 있어서 조곤조곤 떠들기 편했음ㅎ
느피,18,20,4.1,2019.11.30.,5.0,"딸기 생크림 케이크는 여기가 최곱니다ㅠㅠ 마카롱, 마들렌도 맛있어요. 공간도 아늑해서 자주 가는 곳입니다! 저번엔 홀케이크도 예약해서 먹었는데 가격도 적당한 것 같아요. 이틀 동안 다 먹었던 기억이 있네요ㅠㅠ 번창하세요~!!"
셉투다,16,43,4.5,2019.10.30.,5.0,"케이크..너무 달지도 않고 딸기가 엄청 많이 들어있어요ㅠㅠ감덩 너무맛있습니다 그리고 딸기쉐이크도 존맛 ㄹㅇ루 일행도 몹시 좋아했습니다,, 가격도 괜찮은듯"
오리진,11,25,3.7,2019.07.10.,5.0,딸기생크림케이크
탕라마,32,37,3.9,2019.02.23.,4.0,딸기케이크 맛있어요
부리,26,109,4.3,2018.05.31.,5.0,딸기케익 너무 맛있다ㅜㅜ
나경,23,714,3.4,2018.01.31.,4.0,
