user_name,user_rank,num_response,user_star,time,rating,content
냥복쟁이,66,292,4.1,2024.04.24.,4.0,"파스타가 맛있었고 분위기가옛날 느낌 물씬나는 양식집.직원분들 친절하시고, 화장실 갈때는올라가야해서 조금 불편했음."
🦧,23,60,4.1,2024.04.13.,5.0,추억 덮어쓰
이근우,5,234,5.0,2024.04.06.,5.0,
.,2,9,1.0,2024.03.23.,1.0,
개선할점은 개선하고 좋은가게 되주세요,8,7,2.1,2024.03.15.,5.0,요즘 흔하지 않은 기본기가 좋고 나름의 가성비에 비해  제대로 서비스받고 먹을수 있는 곳 가게내부 분위기도 아기자기 포근하고 정말 친절하십니다 식전빵도 나오고후식으로 나오는 딸기 아이스크림도  맛있고 개인적으로 정말 좋아하는 가게에요 지인들이랑 가면 기분좋게 시간 보낼수 있어요오래오래 장사해주세요
shabaiaoo,17,48,4.4,2024.03.14.,4.0,
솔직한리뷰,24,103,3.6,2024.03.10.,3.0,10년전 시간여행 가능
뀹,11,19,4.2,2024.03.08.,5.0,추억의 맛집...☆
heeim,4,8,3.0,2024.02.17.,4.0,
오혜린,6,10,4.2,2024.02.12.,5.0,
삐,17,20,3.2,2024.01.27.,5.0,메뉴 이름을 까먹었는데 치즈 잔뜩 들어간 크림파스타 JMT바닥에 있는 소스까지 싹싹 모아 해치웠습니다 헤헤 완그릇~
더블,25,88,3.9,2024.01.16.,3.0,맛은 괜찮아요 학생들 가기 좋고.. 그런데 창가쪽 먼지들이 너무 수북ㅜㅜ 블라인드에 튄 소스들.. 너무 찝찝해서 담엔 안갈려구요
맛집찾는하이에나,38,317,3.1,2024.01.05.,5.0,가격대는 좀 있는데 양도 많고 진짜 존맛이었음 ㄷㄷ식전 갈릭빵도 리필 가능한데 이거도 존맛
얌,9,15,3.9,2024.01.02.,5.0,나중에 엄마 모시고 올거임
이지수,5,8,4.9,2024.01.01.,5.0,
용,7,12,3.3,2023.12.19.,5.0,대존맛집둘이먹다 하나 죽으면 고마울 맛
전연숙,1,1,4.0,2023.12.18.,4.0,
경희,6,13,4.8,2023.11.18.,5.0,십년 넘게 다니는데 가성비 좋고 정말 맛있어요.
:,3,24,4.2,2023.10.29.,5.0,
.,21,60,4.0,2023.10.14.,3.0,식전빵 맛있음혼밥하면 눈치준다는 후기 있길래 쫄았는데 괜찮았음가성비라고 해서 갔는데 저거 만육천원그냥저냥 근처에서 파스타 먹기 괜찮은 듯
믿고보는 카카오 리뷰,9,10,4.2,2023.10.02.,5.0,빠네 핵 추천 ㅜㅜㅜㅜ 학생들 소개팅 갠춘할듯!! 가성비 식사로!!
폭식주의보,54,498,4.2,2023.09.19.,5.0,친절.주차불편.아기의자
이은영(현수☆지서),4,8,4.8,2023.09.14.,5.0,오랫만에 갔어요. 맛도 서비스도 변함없네요. 또 방문할거예요.
푸린,41,234,4.3,2023.09.09.,5.0,맛도 있는데 서비스가 너무 좋으셔서 더 좋았어용ㅎㅎ
@jxnnyqim,71,428,4.4,2023.09.05.,5.0,추억의 맛진짜 오랜만에 왔는데예전에 먹던 맛 그대로라서 너무 반가웠어요예전엔 줄도 길고 오래 기다려서 먹었던 것 같은데점심시간에 갔는데도 한가하더라구요그래도 예전에 비하면 가격도 많이 오르지 않아서파스타치고 가성비가 좋아요!인테리어도 옛날 그 느낌 그대로라레트로한 느낌 뿜뿜해서 좋네요
앵,11,12,4.8,2023.08.14.,4.0,맛나요 부담 없이 생각날 때 자주 갑니당빠네파스타 체고임 그라탕두 굿
맹꽁이,5,34,4.8,2023.08.08.,5.0,
김성현.한국,3,2,5.0,2023.07.17.,5.0,
꾜,1,4,4.5,2023.07.08.,5.0,
헉헉,38,198,4.3,2023.07.06.,3.0,ㅡ그냥그랬어요 응대는 친절했어요내가 지금 먹는게 뭘까.. 싶은 맛
세계5대성인,47,399,4.0,2023.07.02.,5.0,"맛 가성비 골고루 가짐. 나쁘지 않았고, 가격 생각하면 흠 잡을 수준은 아님. 하지만 완전 초고급은 아니니, 가격 보시고 잘 생각하시길. 나는 재방문 의사 있음."
부농쏘데디,4,5,4.4,2023.06.17.,5.0,역시 변하지 안는맛너무맛났어요양많고 배불러서샤벳은 패스했답니다..아쉬웠다뉴ㅎ또가야쥬~~^^#빠네파스타 #샐러드 #피자
key,35,282,3.5,2023.06.11.,3.0,학생때 여기 유면해서 갈라고 노력했던게 생각나네요맛은 보통이였어요 빠네 필수로 먹었죠 ㅎㅎ
.,33,139,4.2,2023.06.09.,5.0,빠네랑 감자스프 추천이요
p,3,10,4.6,2023.06.07.,3.0,
5자리뷰어,22,97,4.6,2023.06.05.,5.0,정통파스타
리니,9,21,3.6,2023.05.25.,4.0,
지운,4,1,4.0,2023.05.13.,4.0,가격도 많이 비싼편은 아닌거같고요 음식의 맛도 괜찮았어요! 근뎅 주말이라 그런지 사람이 좀 많았고 직원분들도 바쁘셔서 음료하나를 빼고주셨었는데 말씀드리니까 바로 가져다 주셨습니다! 서비스도 전반적으로 괜찮았습니다😊
