user_name,user_rank,num_response,user_star,time,rating,content
5점 잘 안 준다,64,206,3.9,2024.04.13.,4.0,라자냐 못 먹어서 아수웠지만부드러운 부채살 스테끼 매우 만족매장 바깥부터 내부까지 너무 예쁨
SSun.,79,"1,706",3.9,2023.12.18.,4.0,파스타와 리조또 매우 존맛!따스한 분위기도 한몫 하는 곳
아이뻐지콩이,1,1,5.0,2023.09.23.,5.0,"친구랑 가기로한곳을 못가게되서 찾다가 왔는데 거기 안가도됐을거같아요 ㅋㅋㅋ 스테이크 완전 부드럽고 특히 라쟈냐 ,, 너무 맛있쟈냐 ,, 그리고 오픈주방이라 깔끔한것도 눈에 딱 보여서 좋았어요 또 올게요 사장님"
SOOYEON,2,1,5.0,2023.09.20.,5.0,친구랑 놀러갔다가 찐 맛집 찾았어요! 요즘 자리가 따닥따닥 붙어있어 불편한곳 많은데 여긴 테이블이 넓어서 좋았어요! 가격도 착한데 맛까지!! 스테이크랑 엔초비. 라자냐 먹었는데 다 완전 맛있어요! 다음엔 부모님 모시고 갈께요!
dada,2,1,5.0,2023.09.20.,5.0,시켰던 메뉴들 다 맛있었어요><특히 스테이크가 너무 맛있어요.분위기도 좋고 아늑해서 편안하게 잘 먹었습니다:)
홍머생,7,10,3.4,2023.09.20.,3.0,가성비는 좋으나 재방문 의사는 없음생각보다 간이 세고 엔쵸비는 너무 비렸음 단체손님이 있을때 방문해서 시장통이었음
14oz,47,250,4.1,2023.07.28.,5.0,"할나위없이 맛있는 집입니다😋 부채살 스테이크, 라자냐"
준,3,3,4.7,2023.05.05.,5.0,여기 가끔 오는데 올 때마다 만족해요. 음식도 맛있고 분위기도 좋고 친절하세요.
p,18,235,4.0,2023.03.18.,5.0,
Mich,46,151,4.1,2023.03.01.,5.0,"디너 코스 좋아요! 아기자기한 분위기도 넘 좋고.. 전부 하나같이 맛있습니다. (식전빵+샐러드+메인+디저트+음료)에 인당 29000-36000원 정도인데, 부채살 스테이크&라자냐 모두 넘넘 맛있습니다!!"
진진,6,27,3.6,2023.02.25.,5.0,
Jeeyoon,17,28,4.3,2023.01.09.,5.0,분위기도 좋고 맛있는 스테이크와 라자냐 먹구갑니다!! 2명이서 3개는 시켜야 양이 맞는 것 같아요!
나 무서운사람,4,53,4.2,2022.12.05.,5.0,
차민호,25,49,3.7,2022.09.28.,5.0,분위기 너무 좋고 음식 모두 다 괜찮아용 생각보다 스테이크는 그저 그랬지만 버섯 샐러드 진짜 맛있음ㅠ
라미97,45,452,3.3,2022.09.24.,5.0,가격이 낮아서 걱정했는데스테이크도 맛있고라자냐 라구파스타는 환상!!
횸횸횸,16,33,3.8,2022.05.02.,5.0,너무 맛있어요…..!!
준k,14,60,3.8,2022.01.14.,5.0,오랜만에 존맛 식당 찾아서 넘 만족스럽습니다. 디너 코스 추천요
띵,66,882,4.3,2021.12.27.,5.0,
랴,15,24,3.7,2021.12.13.,5.0,스테이크 가격도 적당하고 너무맛있어요 ㅠ
눈의띠네,33,555,3.8,2021.10.31.,3.0,
맛잘알,21,35,3.9,2021.10.28.,5.0,런치코스로 부채살스테이크 라자냐 먹었습니다음식이 전체적으로 담백한 편이었고 맛있었어요후식으로 나오는 아이스크림 샤벳은 아직 생각나는…근데 제가 워낙 소스맛으로 먹는편이라 스테이크 소스로 홀그레인머스타드 말고도 다른 소스가 하나더 있었으면 좋겠다는 생각이 들었습니다또 코스 티제공이 맨 끝이 아니라 원하면 음식 나올때부터 주시면 더 좋을거 같아요|!
돌멩이,46,334,4.1,2021.10.17.,5.0,"좋은 레스토랑의 완성은음악임을 보여주는대표적인 예.맛, 분위기 모두 자신있기에공간에 매력을  더해줄마지막 포인트에 대해고민할 여유가 있으신듯.가요 자동재생 틀어주는 곳들과는격이 다르다.."
니니,22,57,3.2,2021.10.02.,5.0,맛있어요!!! 넘 맛있던 엔쵸비파스타
윤여옥,12,23,3.0,2021.08.11.,5.0,존맛
..,12,11,4.3,2021.06.05.,5.0,맛나요 디저트까지 완벽
루씨쏜,29,71,2.5,2020.10.20.,5.0,"맛있어서 두번 연속 방문.라구, 엔초비 파스타 가격도 착한데 간도 적절하고 전체적으로 너무 맛있습니다. 내부 분위기도 좋고 식전빵도 훌륭합니다. 스테이크도 맛있네요라자냐보단 라구가 더 좋아요"
제주바다에가고싶다!,19,36,4.1,2020.10.08.,5.0,부채살스테이크 정말 부드럽고 맛있어요마지막남은 부채살을 먹었어요라자냐도 와~~정말 이러케 맛있을줄이야담에 또 갈 예정이예요 강력추천해요
5,12,17,3.4,2020.03.25.,5.0,부채살 스테이크랑 라자냐가 맛있어요! 제 기준 등심은 질겨서 부채살이 더 입에 살살 녹는 맛이에요 육즙도 더 맛있었어요파스타 보다는 라자냐
lalakim,33,178,4.7,2020.01.12.,5.0,"외진 곳에 있는데 분위기, 음식 너무 좋았어요"
💸💸💸,3,3,4.0,2019.11.27.,4.0,저는 여기 좋아해요 가격이 굉장히 좋고 메뉴가 적지만 딱 원하는 메뉴가 있어요 라구소스는 담백하고 스테이크는 합리적이며 라자냐는 특징은없지만 기본적이네요
슈미,28,164,3.5,2019.07.23.,5.0,인생 라자냐를 만난곳!!스테이크도 아주 훌륭하다 가격까지 저렴 ㅠㅠ
최지연,3,2,5.0,2019.01.25.,5.0,"맛있는 라자냐, 조용한 분위기 :)"
형,44,298,2.8,2018.12.24.,3.0,"(3.3점)옆 테이블에 20대 초반으로 보이는 여자분은 너무 맛있다고 감탄하고 있었음.그치만 파스타에서 내 취향은 아니라서...스테이크는 가격대비 퀄리티가 상당히 높다.- 식전빵사서 쓰지않고 여기서 직접 구운것 같다.모양은 바게트인데 맛은 모닝빵과 비슷.- 라자냐, 라구내 취향 아님.- 채끝 스테이크쓸데없는 과도한 양념없이, 자질구레한 소스없이 적당한 굽기. 기본에 충실하다.안은 촉촉하고 육즙도 꽤 있다.가격에 비해 상당히 높은 퀄리티."
