user_name,user_rank,num_response,user_star,time,rating,content
라멘처돌이,54,374,4.4,2024.04.17.,5.0,예전에는 특별했는데 우유빙수가 흔해지면서부터  굳이 갈 이유가 사라짐 오히려 무스케이크가 맛있는데 너무 비쌈ㅜ
밍꾸,3,1,1.0,2024.04.15.,1.0,"(2월에 방문했습니다)10년전부터 유명한거 알고있었고,늘 사람많고 못가다가이번에 우연히 들렸습니다. 그런데 정말 왜유명한지 모르겠습니다.케이크 생김새만 그럴싸하고맛은 진짜 … 맛없었어요 …살면서 먹어본 케이크중에 젤 별로였어요.. 딸기랑 생크림 진짜 둘다 최악이었음 ..생크림은 제 취향이 아니라쳐도딸기는 그냥 맛없는 딸기였던거같아요저랑 동생이랑 딱 첫입먹자마자맛없다 이랬어요..살면서 케이크가 맛없었던적은 한번도 없었는데처음으로 케이크가 맛없다고 생각했습니다 ..!"
밥밥,16,34,4.1,2024.04.07.,5.0,딸케 맛있음 과하게 달지않고 크림도 안느끼하고 딱 맛잇엇어용
불꽃휴먼,11,24,4.0,2024.03.29.,4.0,맛이랑 분위기는 좋은데 비싸
banana lizard,25,79,3.2,2024.03.18.,4.0,"디저트는 그저 그렇고, 커피가 맛있어요!"
농담곰,2,1,2.0,2024.03.12.,2.0,오랜만에 사먹으니까 가격이 많이 올랐네요.2호 5만원2천원 싼가격은 아닌데이번꺼는 실망스러워요.먹었는데 같이 먹은 일행들 모두시트에서 오래된 맛을 느꼈어요.1호보다 2호는 잘 구입 안하니까 오래 두고 파는거같다는 생각이 드네요.유일하게 케익 사먹는곳인데 다음에 갔을때는 이 점이 개선 되었으면 좋겠네요.
김춘식,28,190,3.8,2024.03.09.,3.0,"딸기케이크 소문에 비해 별로,, 밍밍한 맛임케익보다 오히려 홍차가 더 나았음"
거지회사원,11,15,3.4,2024.03.06.,3.0,드립커피 맛있음🙂 드립커피라 나올때까지 시간필요😢.옛날부터 딸케 유명 맛집이지만 지난 여름?쯤에 맛이 바뀜... 4명이 모두 딸케를 한 입씩 맛 보고 약품 맛?이 난다고 말함. 사장님께선 바닐라빈을 바꾸었다고 하셨고 친절하게 케이크도 새것으로 다시 내어주셨지만...아무도 손대지 않음..ㅠ
맛잘알식도락여행러,11,20,4.0,2024.03.04.,5.0,최애딸케집! 크림이 부드럽고 빵이 촉촉합니다 가격도 원랜 비쌌는데 요새 케이크집 생각하면 괜찮은거같아요
이수민,13,14,4.3,2024.02.25.,3.0,가성비가 좋다는 말은 못 하겠는데 딸기빙수가 정말 맛있어요ㅠ 솔직히 딸기 케이크 유명하대서 간건데 딸기케이크는 조금 밍밍해서 별로였습니다 그래도 여름철에 빙수먹으러 가기에는 정말 좋은듯
정재현,2,30,3.6,2024.02.16.,4.0,
김용선,5,3,3.7,2024.01.26.,5.0,분위기도 좋고 딸기케익이 맛있어요! 다만 철 아닐 때 가면 딸기가 시큼할 수 있음 ㅎㅎ
입만 청와대,30,73,3.2,2024.01.25.,5.0,비싸지만 딸기케이크는 무조건 여
양양C,4,5,4.4,2024.01.23.,5.0,
우히히,29,77,4.1,2024.01.22.,4.0,맛있어요. 엄~청 맛있다는 아니에요. 가격 대비 쏘쏘
해피,2,8,4.0,2023.12.30.,5.0,
맛너굴,7,18,3.0,2023.12.28.,5.0,딸기가 많이 들어가지도 않고 안에 샌딩된 딸기는 무르기까지 했는데이상하게 맛있는 기묘한 케이크집폭신하고 가벼운 맛이 특징근데 연남점은 맛이 없다
리뷰어,20,21,4.6,2023.12.22.,3.0,맛 그저그럼케이크 크림 밍밍함한시간 제한인데 가격 비쌈
.,8,9,3.3,2023.12.18.,5.0,딸케 맛있음 웨이팅할만한 맛
어린이보호구역고스트라이더김민기,65,368,3.8,2023.12.15.,5.0,케이크가 맛있어서 좋네요
쩝쩝,6,10,4.2,2023.12.03.,3.0,무난한 딸기케이크 맛!
이재만,7,6,5.0,2023.11.24.,5.0,
귀여워!,20,68,4.1,2023.11.20.,4.0,딸기빙수 딸기케이크로 유명했었던곳
ih,8,7,4.9,2023.11.12.,5.0,카페 이용 시간은 한 시간이래요
영광,1,9,4.6,2023.11.10.,5.0,
설입,31,196,3.6,2023.11.01.,3.0,클래식해요 저는 딸기가 좀더많은 케이크를 선호하긴 합니다
리우,20,149,4.3,2023.09.21.,4.0,
canbet,36,335,3.0,2023.09.18.,5.0,존맛탱 딸기케이크 1시간이면충분
Anony,5,7,3.9,2023.09.14.,5.0,
Youngblood,32,102,3.2,2023.09.02.,1.0,케이크랑 커피가 맛 좋은 편이나 이해 안되는 영업 방침이 참 아쉽네요..매장에서 먹고 간다고 하고 주문 후 결제하는데 직원 분이 저희 이용 시간 1시간 제한인데 괜찮으세요? 라고 물어보네요 (카운터에 안내 적혀 있는데 처음 오고 메뉴만 보고 주문해서 전혀 몰랐는데) 카공 때문에 이용 시간 3시간 제한은 봤어도 둘이 와서 케이크 하나에 음료 두 잔 시켜도 한시간 줄테니까 먹고 꺼지라는 마인드의 영업 방식은 참 신박해서 저도 별점 하나 드립니다 ⭐️
Sujin,14,28,4.6,2023.08.30.,5.0,생일 케이크로 또는 디저트로 먹고싶은 자주 생각나는 까페~ 생크림 딸기케익의 강자. 이상하게 다른 까페 생크림 딸기케익은 여기 맛이 안남. 딸기 케익 먹으러 몇년 이상 계속 방문하는 까페입니다~ 주말엔 인기가 많아서 자리잡기 힘들수도 있어요~
민트초코,19,30,5.0,2023.08.30.,5.0,딸기철일때 꼭 다시 방문할거예요 너무 맛있어요 ㅎㅎㅎㅎ
서비스보다맛이중요한사람,17,19,3.6,2023.08.28.,4.0,(23.08.26) 딸기빙수 먹음. 딸기청이랑 같이 먹어야 달 줄 알았는데 의외로 빙수 자체가 달달했음. 딸기청은 오히려 빙수보다 안 달고 새콤한 맛임. 11000원인데 2명이서 먹으니 가격도 괜찮고 직원분들도 친절함. 오랜만에 유명한 값 하는 가게 방문한 거 같아서 좋았어요!*별점 기준1: 불쾌한 특정 경험을 한 곳2: 특정 사건은 없었지만 별로인 곳3: 그냥저냥 괜찮은 곳4: 평타 이상인데 최고는 아닌 or 5에 준하나 아쉬운 점이 있었던 곳5: 맛 서비스 둘 다 빠지지 않는 곳
💙🔥,17,86,4.4,2023.08.26.,5.0,딸기빙수가 진짜 핵존맛
 James,34,179,3.5,2023.08.25.,5.0,딸기 빙수와 딸기 케잌의 조합은 진짜 미쳤다
정원일,3,1,3.0,2023.08.25.,3.0,
우짤,25,84,3.7,2023.08.25.,5.0,"커피도 맛있었고, 딸기케이크 술술 넘어가요"
.,23,58,3.3,2023.08.19.,5.0,여긴 딸기케이크 맛집임... 딸케 안먹어보면 글못씀 ㄹㅇ 개존맛 동물성생쿠..ㅠ그리고 일단 촉촉함 재재재방문 맛집근데 케이크 주문해서 글적는거..? 그런건 ㅋㅋ조큼 아쉽다 케이크맛으로 승부보는곳임 젤마시쒀~~~
ㄱㅇㄹ,7,5,3.2,2023.08.19.,3.0,4월에 첨 갔을 때 딸기 케이크랑 아인슈페너가 너무 맛있어서 (생크림이 맛이 풍부하고 꾸덕햤음) 이번에 재방문 했는데 똑같이 아인슈페너 시켰는데 이번에는 엄청 싼 식물성 크림 맛 ㅠㅠ 첨에는 별 다섯개짜리 카페였는데 두번째는 별 두개 정도..내부는 항상 시끄러운 것 같아요. 그리고 이용시간 1시간밖에 안 됩니다
