user_name,user_rank,num_response,user_star,time,rating,content
보나파르트,9,20,2.4,2024.04.21.,1.0,
m,14,52,3.9,2024.03.23.,2.0,굳이 기다리지 않아도 되는 걍 괜찮은 맛위생상태 안 좋은 게 느껴지는 매장 분위기밑에 배탈 났다는 얘기있는데 나도 배탈남
lee,13,13,4.5,2024.03.18.,2.0,"단거 좋아하시면 추천합니다. 콘브라운피자는 메이플 시럽, 감튀피자는 꿀이 올라가는데 많이 뿌려서 피자판이 시럽과 꿀로 자박합니다. 감튀와 꿀, 피자와 메이플 시럽 조합이 그닥 좋다고 생각하진 않아 개인적으로 첫입이 큰 충격이었습니다. 맛이 피자보다 도넛에 가깝네요.. 직원분들은 친절하시고 함께 나오는 소스가 맛있습니다.+) 먹은 날 밤 함께 먹은 친구와 복통 및 설사에 밤새 시달렸습니다 저녁에 만났어서 당일 함께 방문한 다른 음식점은 없었습니다"
은실,3,1,5.0,2024.03.13.,5.0,매번 찾아가는 맛집피자 진짜 양 많고 너무 맛있어요! 사이드메뉴 갈릭윙봉도 최고! 코젤맥주에 완전 꿀조합이었어요! 또 가고싶은 맛집!!
먕,10,12,4.9,2024.03.11.,5.0,옛날부터 좋아했던 피자집인데이번에 방문했을 때 여자 직원분이 불친절해서 좀 놀랐네요 물론 힘드셔서 그런 거는 어느정도 이해합니다. 마지막에 갈 때 인사드렸는데도 안받아주시더라고요.. 물론 못보셨을 수도 있다고 생각합니다. 음료도 잘못 주셨는데 바빠보이셔서 그냥 주시는대로 먹었습니다.피자도 너무 맛있고 별점 5점을 드릴만큼좋아하는 집인데 오랜만에 방문하고 조금 놀랐습니다.. 전체적으로 응대가 잘안되는 느낌이라 매우 아쉬웠네요..엄청난 친절을 바라는 것도 아닙니다.그래도 서비스직에 종사하시는 분들이라면 기본은 하셨으면 해서 적어봅니다..
삼엽살,21,52,3.4,2024.03.03.,1.0,조작..
나니,16,59,3.9,2024.02.19.,3.0,콘브라운피자 맛있음. 근데 매장 위생이 너무 안좋음. 바닥 등등...
정재현,2,30,3.6,2024.02.16.,4.0,
ESFP,31,101,3.3,2024.02.08.,4.0,옥수수피자 맛있었어요!피클은 없는 대신 김치가 있구요.핫소스도 맘껏 뿌려 먹을수 있어서 좋았습니다감튀주문 누락된지 모를 정도로 엄청 늦게 나오진않았는데 죄송하다고 해주셔서 너무 감사했습니다.양도 정말 많아서 다 못먹고 온게 아쉬울정도엿어용
희연,13,38,4.5,2024.02.03.,4.0,"브라운콘,페퍼로니 맛있었어요 !"
.,15,36,3.2,2024.01.20.,5.0,콘피자랑 더블페퍼로니 반반R 여자 둘이 다먹음 콘피자는 두번은 안먹을거같고 더블페퍼로니는 맛있어요소스도 3개나 있어서 좋아요+삼겹 미나리 피자는 시키지마세요 피자랑 안어울림
오레오 인종,13,23,3.3,2024.01.20.,4.0,적당한 맛에 조금 가격대가 있다.
따시다,13,19,3.6,2024.01.14.,3.0,맛은... 그럭저럭 먹을만 했지만 알바생분들 손님 신경쓰지도 않고 주문시 주방으로 직접 가서 주문하는 경우가 빈번했음. 다시는 가지 않을 듯
