user_name,user_rank,num_response,user_star,time,rating,content
망곰이의비밀맛집,22,25,5.0,2024.04.23.,5.0,유부에 새우완자 조합 자꾸 생각남..🥴 하이디라오는 진짜 맛있는데 가격이 정말 사악 그자체ㅠㅠ 그치만 네일 쿠폰도 주고 직원분들이 친절하셔서 좋음ㅎㅎ 저녁시간 웨이팅은 긴편이라 예약하고 방문하길 추천 !!
🏖,37,196,4.0,2024.04.09.,5.0,굿 엑설런트 후식까지 완벽
방국봉,12,16,3.6,2024.04.05.,5.0,새우완자 젼맛탱;;
얼죽아바라,25,53,3.8,2024.04.02.,5.0,토마토탕 맛있음
김홍화,2,1,5.0,2024.03.30.,5.0,
behappy,6,10,4.1,2024.03.29.,5.0,맛있어요~ 분위기도 유쾌하고 좋습니다👍🏻👍🏻
배예람,10,6,4.8,2024.03.28.,4.0,
나는야,33,141,4.2,2024.03.18.,5.0,지려요진짜 또갈래 아잉
😍,12,30,3.3,2024.03.10.,1.0,너무기다리고불친절그자체
정준영,2,7,4.4,2024.03.05.,3.0,
윤려화,14,31,5.0,2024.03.03.,5.0,
정지현,2,1,5.0,2024.03.01.,5.0,
맛있어서 사진 없음,20,48,4.8,2024.02.25.,5.0,진짜 맛있게 먹음
uu,14,68,3.4,2024.02.23.,5.0,
유,4,12,4.3,2024.02.20.,5.0,마음의고향
이인규,16,32,3.3,2024.02.18.,3.0,"맛은 있으나, 야채 등 모든 메뉴가 따로 가격이 있고, 웨이팅이 길다. 예약방문 필수"
페이커,12,12,4.1,2024.02.14.,4.0,평일에도 웨이팅 있으니까 가기 전에 예약하
맛집기록,18,51,5.0,2024.02.10.,5.0,
이승민,15,25,3.6,2024.02.04.,5.0,4명이서 14만원 씀ㅋㅋㅋ맛있고 엄청 친절함!!!다른 훠궈가게보다 조금 비싸도 다들 하이디라오 가는 이유가 있음수타면 그냥넣기 or 퍼포먼스 선택 가능인데 우린 후자를 택했고…직원분은 커다란 블루투스 스피커를 켜고 플레이리스트를 재생시켰다…근처에 있는 모든 테이블 이목이 집중됨…나중에 하이디라오 안 가본 친구 데려와서 꼭 수타면을 주문하고 퍼포먼스 신청할거임3천원내고 소스바 이용권 구매하시길그렇게 저는 고수만 2만원어치 털어먹었으며초보자에게는 천러소스 추천~(천러가 뭐지? 했는데 sm 엔터테이먼트에서 데뷔한 남자아이돌 nct의 중국인 멤버라고 하네요)(nct팬 아님 아이돌 바이럴 아님 친구가 알려줌 진짜임 저는 그냥 투디오타쿠임)간장 1.5 마늘1 다진파1 양파1 참기름 한바퀴 고수는 알아서익숙한 맛이 남… 약간 시금치 나물무침 양념?의 맛임낯선 훠궈를 친숙하게 만들어줍니다제 소스추천발효식초에 고수많이! 발효식초에 고수를 담그는게 아니라 고수를 그냥 식초로 무친다고 생각해야함식초고수김치임ㅇㅇ신거 짱좋아 향신료 짱좋아 인간에게 추천
효선,3,3,5.0,2024.02.03.,5.0,
배효섭,2,7,3.3,2024.02.01.,3.0,
지안,14,22,3.7,2024.01.27.,1.0,직원 분 경험 해본 분들 중 가장 최악 ~ 1. 10시 오픈이래서 갔는데 10시부터 11시는 예약만 된다고 현장 공지 받아서 1시간 기다렸음. 기다리는 데 따로 있지도 않음 그냥 복도에 다같이 의자 쫘르륵 앉아있었음2. 입장해서 넓은 좌석 달라고 했더니 저긴 예약석이라 안 된다고 하시더니 우리 팀 바로 뒤에 온 팀은 넓은 좌석 주길래 말씀 드렸더니 갑자기 된다면서 자리 바꿔줌3. 네일아트 가장 먼저 예약했는데 그 예약을 또 잘못 받아서 ㅋㅋㅋㅋㅋ 네일아트 하러 갔더니 식사 끝내야만 된대서 식사까지 급하게 끝내고 나왔는데 갑자기 예약 잘못 됐다고 안 된다 함4. 심지어 그 예약을 내가 내 손으로 쓴줄 알았는지 내 탓 시전함. 사과 아예 안 함. 직원분께서 쓰신 거라고 했더니 그제서야 죄송하다 함. 5. 저 전부를 겪고도 일부러 기분 나쁠 일 만들지 않으려고 착하게 말하고 있었는데 본인 실수를 내 탓하려 하시길래 그때부터 정색하고 말했더니 그제서야 죄송하다 함. 정색해야나 사과하는 건가? 하는 생각이 들었음. 6. 사소한 거지만 한국어 발음 굉장히 어눌하심.. 솔직히 못 알아들어서 몇 번씩은 물어봄 한 마디 하실 때마다. 7. 이것도 사소한 거지만 3명이서 엔빵했을 때 딱 나눠떨어지는 가격이 아니길래 한 명 올림 하고 두 명 내림해서 합계가격 맞춰주실줄 알았는데 전부 다 올려쳐서 2원 더 받으심. 이건 그냥 그러려니홍대지점 절대 오지 마시고 강남 지점 가세요.. 강남 지점 굉장히 친절하시고 시스템도 잘 돼있고 네일도 별 트러블 없이 훈훈하게 잘 하고 나왔습니다 제발 홍대 말고 강남으로 가세요ㅜㅜ 하이디라오 역시 맛있긴 했으나 홍대 지점 두 번 다시는 안 갈듯
강승환,8,6,5.0,2024.01.23.,5.0,
아카이브,2,51,3.5,2024.01.21.,4.0,
BJ음주돼지,20,15,4.2,2024.01.16.,5.0,역시 최고의 대만음식점입니다 직원들에게 대만 독립 댄스를 요청했더니 흔쾌히 우스꽝스러운 퍼포먼스를 보여주며 대만독립의 의지를 다지던것이 인상적이었습니다 Taiwan No.1
나는아직도배고프다,32,152,4.2,2024.01.14.,5.0,이래서 비싸도 하이디라오 가는구나
Jin,20,124,4.5,2024.01.08.,5.0,또가고싶당
M갈메기,31,347,4.5,2024.01.03.,5.0,하이디라오 나루토춤
박씨,20,28,2.9,2024.01.02.,4.0,중국인 여자 직원분 진짜 친절하셨어요 갔던 하딜중에 제일 친절해요 비싸고 맛있어요
해원,4,12,4.8,2024.01.01.,5.0,
"52톤 미제 ""팩트"" 폭격기",18,34,2.5,2023.12.20.,3.0,언제나 일관된 맛과 서비스맛있고 친절함근데 사람 너무 많아서 50분 기다림한줄평:걍 하이디라오 근데 사람 ㅈㄴ 많은
아윤,6,9,4.6,2023.12.19.,5.0,하이디라오 처음가봣는데 인터넷에 건희소스 꼭 드셔보시고 새우완자 드셔보시길 ㅎㅎㅋㅋㅋㅋㅋ존맛탱
@,7,7,4.4,2023.12.14.,4.0,
.,18,11,4.8,2023.11.30.,5.0,
윰,28,170,1.7,2023.11.30.,1.0,호구들이 열심히 가서 중국배불려주노 ㅋㅋ
팽이버섯,33,136,4.3,2023.11.13.,5.0,친절스
