user_name,user_rank,num_response,user_star,time,rating,content
🌱,3,2,3.0,2024.04.21.,2.0,맛집이고 블루리본이라고해서 갔음오픈시간 맞춰서가면 줄서지는않고 금방 들어감사장님 험악한 분위기도 분위기인데 혐한일본인이라는 후기를 봤을때는 너무 늦었었다...솔직히.. 화장실도 그렇고 음식점도 더럽고 냄새가 심했음맛도 돼지누린내가 심했다.. 많이먹으면 질리는 느낌계란만 맛있었음.. 김치나 사이드도 언제 교체했는지 모르겠음...먹으면서 의구심이...다시 가..지는않을거같음
정승훈,5,10,3.5,2024.04.05.,5.0,친절하니 뭐니 욕해도 홍대 돈코츠 라멘 존맛집 중 하나인 거는 사실. 인라멘만 먹을 거면 가도 괜찮을 듯.
트래블러버,22,37,4.8,2024.04.04.,4.0,지인 추천 받아서 갔는데 진한 육수에 깔끔한 맛이었습니다~
메에,12,18,3.9,2024.03.13.,4.0,"웨이팅할 정도는 아니고 손님 없는 애매한 시간대에 가서 후루룩하면 한끼 먹기 좋음. 후쿠오카에서 먹은 라면과 거의 비슷헌 맛이 남. 국물이 엄청 진한편은 아니지만, 적당해서 좋습니다."
김춘식,28,190,3.8,2024.03.12.,3.0,다른 곳에 비해서 전체적인 간이 짜지 않고 국물이 진해서 맛있음다만 웨이팅해서 먹을만한 정도는 아닌 것 같음
ㅎㅎ,27,179,1.2,2024.03.11.,1.0,
길거리,23,75,3.7,2024.03.08.,1.0,맛이갔다
shhiit,6,6,3.0,2024.03.06.,1.0,개인적으로 줄서서 먹을 맛은 아니라고 생각함 평범보다 좀 더 아래에 맛…다른 라멘집 많으니 안가시는 걸 추천..
POW!,32,85,1.7,2024.02.27.,1.0,혐한사장에게 무시당하고 꼽당하면서도 가는건 노예근성인증이라고 밖에
상추투,16,17,2.7,2024.02.21.,1.0,홍대 최악의 거품
ㅎ,11,3,1.0,2024.02.13.,1.0,혐한할거면서 한국에서 장사는 왜 하냐 ㅉㅉ외놈들은 적반하장 행세하니 일본은 망해가는구나!
Lucas,4,4,1.5,2024.02.12.,1.0,맛도 없어진거 같고청결좀….꿉꿉한 냄새 대박입니다….이젠 안갈듯;;
Rucarrot,4,10,4.0,2024.02.06.,4.0,"불친절하거나 비싸다고 생각하진 않지만, 청결에는 좀 더 신경써줬으면 좋겠다."
윤굴이 따라다,13,16,3.5,2024.02.02.,1.0,여기 아직도 장사하나? ㅋㅋ
GKI,11,14,3.5,2024.02.02.,4.0,그 모든 후기에도 불구하고 20년을 버틴 맛에 점수를 줍니다… 청라면 그냥 메뉴에서 내리지 왜 ㅜㅜ
zeze,22,42,3.1,2024.02.01.,1.0,"소위 “일본 라멘”에 대한 자부심을 오만함과 불친절로 드러내는 곳.거의 15여년 전 지인들과 방문했을 때도 짜고 부담스러운 육수에 자가제면을 다룰 줄 모르는 이상한 면에 놀랐는데 심지어 줄까지 서서 먹는다는 것에 신기했고, 10년 전쯤 방문했을 때는 간이 나아지기는 커녕 더 짠맛만 남았었음.심지어 두번째 일본 여행 후 여행 같이 갔던 사람들과 방문한 거였는데, 지인들 감상은 모두 간이 맛없게 짜다라는 거였고, 소곤거리며 대화중이었는데 점원인지 사장인지 갑자기 화내길래 상당히 놀랐음.일본에서도 저렇게 오만하면 100년 가게도 망함.아직도 존재하는 이유를 모르겠네."
김영욱,24,43,4.6,2024.01.31.,5.0,상수역 라멘 맛집 소개~담백하고~ 묵직한 육수가 최고~아지타마고(반숙계란) 추가는 필수~사무실 친구들과 맛나게 점심해결이요~^^#상수역 #하카타분코 #일본라멘 #맛집인증
두두둥,60,"1,993",2.6,2024.01.28.,3.0,무난합니다.
H,8,9,3.2,2024.01.19.,1.0,별 반개짜리가 없네
Epicure,37,158,3.8,2024.01.02.,3.0,"고명 부족(계란 미포함, 빈약한 차슈), 추가요금 받는 면 및 밥추가 추가 생각하면 라멘치고 가격은 비싼편.육수 말고는 딱히 할 말이 없는곳이나, 육수 하나는 확실하다돈코츠라멘 매니아면 인라멘, 익숙하지 않다면 청라멘쯤으로 갈리는듯.인라멘 선택하고 마늘로 느끼함을 잡아줘도 괜찮다."
