user_name,user_rank,num_response,user_star,time,rating,content
평론가,12,12,2.3,2024.04.22.,1.0,알바생 교육점 시키세요 연예인버프로 장사할려 하지마시고...어휴 돈아깝다 돈아까워
ㅇ,14,18,3.4,2024.03.26.,1.0,손님 코앞에서 알바생들 계속 장난치고 친목오지고 수다 떰 불친절하고 서비스도 별로 비싸기만 하고 고기 질도 별로
김목민,3,6,4.2,2024.03.19.,4.0,
nope,5,3,2.3,2024.03.02.,1.0,"고기 맛이 안남꽃삼겹먹엇는데 삼겹특유의 맛이 없고고기 맛이 “무""맛임차돌된찌도 노맛이고다신 안갈듯"
Waikiki,3,2,3.0,2024.01.10.,1.0,매장 한가했음에도 불구하고 직원들 진짜진짜 불친절함. 융통성도 없고 말도 웅얼웅얼 대답도 잘 안하고. 외국인 팬들이나 와서 우와 좋다좋다 하고 가겠지.첫 주문에 한 메뉴로 인당주문 해야함. 넷이 가서 두가지 종류 2인씩 주문 이런거 안됨ㅋ 고기 자체는 맛없지 않았으나 굳이 비슷한 맛집에 비해 가격도 비싸고 서비스도 개별로라 다시는 가고 싶지 않음.
fghur,21,61,4.6,2023.12.31.,5.0,삼겹살이랑 옛날도시락 엄청 맛있고 직원들도 친절하고 가성비도 좋았음! 외국인 관광객들이 진짜 많음 런닝맨 보러와서 그런가
Kwon,19,37,3.6,2023.09.29.,1.0,"1. 주문 시작부터 말 끊는 직원분. 바빠서 그럴수도 있지 하지만, 기본세팅하는 중이였고, 주변에 사람도 거의 없어 주문이 밀린상황도 아니였습니다. 삼겹살 2인분만 달라고 말씀 드린것이라 충분히 듣고 주문 받을 수 있는 상황이였습니다. 그런데 말 끊고 기본세팅도 하는둥 마는둥 한건지 ㅎㅎ... 그리고 제가 지금까지 가본 삼겹살집 중에서 무한리필 다음으로 셀프로 해야되는게 많았어요. 굽는것도 하다 마시네요.그때부터 좀 별로다 싶었습니다. 그치만 너무 오랜만에 만나는 모임이라 좋은 분위기로 먹고싶어 직원분께 티내지 않고 기억해야 싶어 리뷰쓰렵니다.2. 밥먹는데 코로나 시국도 지났다고 해도 제가 먹는 자리 바로 뒤에서 직원끼리 모여서 떠들고 있더라고요. 자리가 좁아서 아무리 작게 말해도 무슨 대화인지 다 들릴정도인데 신경이 많이 쓰였습니다. 3. 공기밥 2000원 2개 주문했는데 밥공기 안에 쌀밥이 절반 채워져 있더라고요. 2개가 다 사진처럼 나왔습니다. 진짜 딱 절반입니다. 더 적을 수도 있겠네요. 잘못 된건가 싶어 직원분한테 여쭤봤는데, 똥 씹은 표정을 지으시더라고요. 그럼 하나 더 드려요? 이러시던데 더 이상 식사하기 어려웠습니다. 그래서 적당히 먹고 나왔어요. 내 인생 처음으로 3차까지 갔어요.연예인 이름 걸고 하는 식당이다 뭐다 해서 간건데 두분 간판 떼셔야 앞으로의 평판에 이득일 것 같네요. 다시는 가고 싶지 않고 추천도 해주고 싶지 않습니다."
조광원,2,4,3.5,2023.07.20.,3.0,
황우석,2,1,4.0,2023.07.09.,4.0,
Donald Yeo,6,3,5.0,2023.06.26.,5.0,"Had a pleasant time over at JK & Haha store, food was great and staff was at the least helpful and service was good, no complaints, will recommend!"
쉐이크,3,5,3.2,2023.01.07.,1.0,후기보고 설마 하고 직접 방문..역시나.......
이경수,5,3,3.7,2022.11.20.,5.0,맛있고 직원 친절하고 위치 좋고~
촌철살인,38,942,1.2,2022.11.18.,1.0,
Lonun,30,407,3.4,2022.09.03.,1.0,하하&김종국 이름만 떼면 3달안에 망할텐데...
min,5,6,3.2,2022.08.21.,3.0,고기랑 반찬 맛은 쏘쏘 그냥 당신들이 생각하는 고기집이라 보면 되지만 비슷한 가격대에 하남돼지집이랑 직원들 서비스를 비교하자면 하남돼지집을 가겠음기대감을 가지고 갔으나 기대감이 큰 만큼 실망감도 크다고 생각되는 곳
ㄴ,28,153,2.5,2022.07.19.,1.0,대학교때매 근처 10년이상 살았는데 좋은소리 한번도못들음 ㅋㅋ 팔자막창 때부터 갔음
히릿,20,34,4.3,2022.06.26.,1.0,"내가 가본곳 중 제일 최악, 진짜 최악중의 최악, 알바생들 진짜 개불친절하고 삼겹살은 비계비율이 99퍼인걸 줘놓고 뭐라하니까 되게 불친절하게 대응하고 심지어 고기는 냄새나서 비위 잘상하는 사람은 토했을듯"
청량,33,128,4.1,2022.06.18.,1.0,김종국이 애초부터 헬창이어서 곱창은 쳐다도 안본다고했음. 그런데 하하랑 곱창을 메뉴로 내놓음?
-,3,1,1.0,2022.05.10.,1.0,직원분들 굉장히 불친절 했습니다직원교육이 필요할 거 같습니다다신 오고싶지 않아요.특히 여자직원분 일하기 싫으면 하지 마세요앞치마 정중히 부탁드리자 아주 작은 목소리로 동문서답 빌지는 아래에 있고 계산할때 가져가라고 그러더니 툭 가져다주네요 그리고 남자직원분은 청양고추 더 달라고 하니 애초에 두개를 주고선 한개 남아있는데 더 드려요 ?라고 물어보더라구요 두명에서 고기 3인분 시켰고 냉면 술 적지않게 먹었는데 왜 그런 소리를 들어야 했을까요?
😔,8,5,3.6,2022.04.19.,2.0,동남아에서 런닝맨하면 환장한다고 데려갔는데 진짜진짜..돈아까움
혜진,3,2,3.0,2022.01.13.,1.0,진짜 최악임 43000원 돈버리고옴 가게관리안하는듯 직원한명빼고 서비스 엉망임 수저 던지듯이 놓고가고 고기는 잘라주는데 기름 다 튀든지 말든지고 고기 잘라주고 알아서 구우라고 집게던져주듯이 가고 쓰레기통에서 주운 물티슈로 손님있는 테이블 닦고 도시락은 미리 만들어 놓는지 주문하면 30초 안으로 나오는데 밥은 다 식고 햄은 냄새나고 멸치는 괜찮았음 된장찌개 누가 맛있다고 한건지 냄새나고 한입먹고 안먹음 도시락 배고파서 5\1먹음 고기 값 음식 값올려놓고 고기 찔김 생일이라서 일부로 여기갈려고 홍대갔는데 진짜 망치고 런닝맨에 가끔씩 언급하길래 애정이 있네 했는데 왜 손님 줄어드는지 알거같음 진짜 별 1개도 아까움 돈 아까워서 고기만 쑤셔넣고옴
서정범,17,25,4.5,2021.11.08.,1.0,"가격과 양 너무 하네요...둘이서 술도 안먹고 68,000원 공기밥양 뭐 텅텅 비어있고 고기 양이랑 가격이 너무해요"
갈리나,2,1,5.0,2021.11.07.,5.0,
김,7,327,5.0,2021.10.15.,5.0,
민서,1,4,5.0,2021.10.13.,5.0,
후니,12,17,2.9,2021.10.11.,4.0,고기도 맛나고 직원분들도 친절하신대댓글보니 다들 불친절 맛없다고 하내요..밑에 글 믿지마세요…
ㅈㅇㄹ,5,6,1.0,2021.06.12.,1.0,친구가 런링맨 좋아해서 가자고 했는데 정말 애청자가 아니라도 실망한 정도.  양이 너무 적고 차라고 리필 먹으러 더 나아. 딱 한가지 장점 있다면 직원분이 고기구워준다.
권혁준,8,8,2.5,2021.04.25.,1.0,"1.직원들 기본세팅시 숫가락 젓가락 테이블에 촤악 던져버림 ㅋ2.삼겹살이 맛없을수 있단걸 처음 느끼게 해준곳ㅋ3.부탁하면 직원들 뒤돌아 가면서 대답함 ㅋ4.주방앞에서 직원들 고기구워서 먹으면서 서빙함 ㅋㅋ5. 바닥,벽 무슨 카센타 같음. 검은자국들 천지. .  결론 사장이 홀에없음 개판된다 ㅋ"
simile,11,12,3.9,2021.02.14.,5.0,괜찮아요!~ 맛 적당합니다 딱히 불친절하진 않았어요
ㅇㅇ,19,39,3.4,2021.01.07.,3.0,통입니다. 그렇게 나쁘지도 좋지도않아요
진짜 맛있거나 별로면 올림,20,74,2.5,2020.10.06.,1.0,
민하,6,5,2.6,2020.09.10.,1.0,직원들 몹시 불친절
현식,3,5,4.2,2019.06.23.,1.0,별로
나그네,6,10,3.7,2019.01.26.,1.0,"최~~~악,,,,,,다시는"
까칠한윤이~●°●,16,20,2.9,2019.01.16.,1.0,먼소주가 5000원이냐 ??
Koj,12,13,3.0,2017.12.23.,1.0,직원들 진짜 불친절. 몇번을 불러도 오지도 않고 들어도 모른척..고기가 두툼은 하지만 가격대비 맛있는지 전혀 모르겠음.  이가격이면 육전식당을 가겠음.
