user_name,user_rank,num_response,user_star,time,rating,content
푸다뱅,75,933,4.2,2023.08.06.,3.0,테라스가 넓은 주택개조카페입니다. 타르트와 커피는 무난하게 먹기 좋았고 넓어서 여유있게 수다 떨기 좋은 곳입니다.
Yunyun,3,4,4.3,2023.05.09.,3.0,위치도 좋구 음료도 맛있구 다 좋았습니다쿠폰이 있어서 사용하려니까 주인이 바뀌어서 사용하지 못한다는 얘기를 들었습니다 쿠폰있으신 분들은 참고 하세요~
신촌홍대리뷰러,34,135,3.9,2023.04.30.,3.0,커피는 괜찮은데 쿠키랑 케이크가 너무 달아요
쥬,5,3,3.7,2023.03.28.,1.0,700원이나 더 내고 디카페인 아아1잔이랑 일반 아아 1잔 총 2잔 시켰는데 일반 아메리카노를 디카페인이라고 잘못 알려줘서 심장 두근거리고 지금 새벽 3시인데 잠이 안와요 700원이나 더 내고 주문한건데 재대로좀 알려주셔야죠. 대충 이거요 하고 잘목 알려주면 디카페인을 뭐하러 주문합니까?
⠀,3,41,4.6,2023.02.19.,4.0,
drgz,46,346,4.1,2023.01.26.,3.0,음료: 평범케이크: 푸석푸석 퍽퍽쿠키: 딱딱한 초코파이
😋,31,158,3.6,2022.12.13.,2.0,카페가 크고 테이블간격이 넓어서 좋아요너무 시끄럽지않고 조용해요.음료맛은 쏘쏘
www88,2,9,3.9,2022.11.09.,5.0,
qwerty123,19,31,3.8,2022.10.07.,2.0,1. 한 잔당 5500원인 캐모마일 티 마심. 싸구려 티백이라서 받아들이기 힘들었으나 합정이니까 그려려니 함. (아무리 합정이라도 티백 정도는 조금은 비싼 걸로 신경쓰는 곳 많은데… 하는 생각은 들수밖에 없었음) 2. 실내에서 마시는데 일회용컵 사용. 우리 뿐만 아니고 실내에 앉아있는 3팀 모두 일회용컵 사용함.
윤,26,61,4.0,2022.10.02.,2.0,홍대에 자리 많은 개인카페 찾기 힘든데넓어서 좋음 근데 음료맛은..... 자몽에이드는 자몽향 탄산수맛 나고(달지 않음..) 녹차라떼는 엄청 달고...(자몽에이드에 들어갈 단맛을 녹차라떼가 뺏어간듯)
ㅇㅇ,3,4,3.5,2022.08.16.,5.0,
702,4,10,4.6,2022.06.23.,5.0,케이크랑 타르트가 기가 막혀요
Hazzz,44,208,3.4,2022.03.26.,3.0,넓어서… 공간값음료 보통
나더,40,424,3.7,2022.03.18.,4.0,넓음 음료맛있다
Mj,35,963,4.0,2022.03.02.,4.0,
