user_name,user_rank,num_response,user_star,time,rating,content
방참우,31,73,4.0,2024.04.03.,4.0,맛있기도 하고 맛에 비해 가격도 착해요.
임하은,8,5,4.6,2024.03.18.,5.0,진자 개맛있다. 꼬소하고 폭신하고 부드럽고 따뜻하고 갓 구워져 나와 바삭하고 포실포실한 고기가 일품이었다. 다른 메뉴도 먹어보고 싶다.라멘은...... 먹지마세요.
강승후,3,3,4.3,2024.03.18.,3.0,
어쩌라고,9,20,4.0,2024.03.12.,3.0,
정예은,2,1,4.0,2024.02.28.,4.0,
🐹,1,5,4.4,2024.02.28.,3.0,
02 평가단,74,"1,003",4.5,2024.02.27.,5.0,맛있어요! 완전 가성비입니다!
별점조작시 후기 계속 업데이트,35,112,3.9,2024.02.14.,4.0,적당히 맛있는 집.가격 : 15/20맛 : 12/20서비스 : 10/10총점 : 37/50
노래방 덕후인 평범한 중딩,23,53,4.0,2024.01.29.,3.0,진짜 맛있고 양많고 좋긴한데양을 약간줄이고 10000짜리 일반 돈가스라도 만들면 좋겠다.그리고 다 먹고 결제하려는데 직원이 너무 짜증나는 목소리로 말해서 기분이 안 좋았다.그래도 맛은 있다.하지만 간단하게 먹기엔 추천하지 않는다갠적으로 소스를 너무 많이 부우셔서 짜게 먹었다.
미식팬더,15,14,4.7,2024.01.23.,5.0,가성비 좋은 홍대맛집이에요 맛있어요
규빈,7,3,4.7,2024.01.20.,4.0,음식은 대체적으로 맛있었지만 분위기가 조금 어수선한 느낌이 있었어요! 하지만 맛있고 은근 양도 있고 꽤 배불러서 만족해요~!
맛도링,25,72,2.7,2023.12.26.,1.0,개노맛..
로뎅,4,6,4.0,2023.12.25.,5.0,홍대가면 꼭 들리는곳 치돈에 소금추천합니다
예글,18,27,3.7,2023.12.15.,3.0,평범함 혼밥하기 괜찮음소스가 식탁 위에 있어서 좋았음주방 근처 자리는 비추
숩,19,27,4.5,2023.11.21.,5.0,홀 직원분이 친절하십니다주방에서 고기 손질하는 모습이 좋습니다치즈까스 기본에 충실해 맛있고김치나베가 짜글이 같은 느낌이라 좋습니다
바바,2,1,5.0,2023.11.21.,5.0,친절하시고 맛나요
K,25,438,2.9,2023.11.02.,2.0,
경거망동,5,26,4.1,2023.10.24.,1.0,
우짤,25,84,3.7,2023.08.25.,5.0,바나나 소스 독특해서 좋고 치즈돈가스 맛있었어요무난한 맛이었는데 동생은 이 집이 치즈가득해서 제일 맛있다고 좋아했어요바삭한 전문돈가스 좋아하시면 별로고 치즈 좋아하면 추천합니다
5자리뷰어,22,97,4.6,2023.06.07.,4.0,바나나소스..?
ㄴㅇㅊ,4,2,4.5,2023.05.19.,5.0,가브리살 가츠 JMT
음유맛잘알,10,13,4.1,2023.05.15.,2.0,소스가 특이한데 볼품 없다. 돈까스는 맛있다.
.,2,3,3.7,2023.05.05.,4.0,
irons,7,10,2.3,2022.12.19.,1.0,아무리 할 짓 없어도 여기선 밥 안먹을 것 같애요
ZG,20,144,3.0,2022.09.10.,4.0,비싸지만 good
kc,7,17,4.3,2022.08.31.,5.0,
주한민,2,4,5.0,2022.05.19.,5.0,
THcare,7,5,5.0,2022.05.01.,5.0,"홍대 나들이 갔다가 유명맛집이라 함 가봤는데... 옴팡 맛나게 배불배불 먹고 왔어요. 샐러드 리필 리필 ㅋㅋ~  3식구라 치즈, 안심, 모밀 조합으로 주문 했는데 아들과 딜해서 맞교환한 치즈는 young 저격 맛! 역시 치즈진리"
솔직히말해서,17,34,3.2,2022.04.01.,1.0,"내 입맛엔 맛있게 먹었는데.원래 돈까스에 깻잎이 들어감?돈까스 고기와 고기사이에 들어있던데, 비법인가 싶긴했음.근데 문제는 먹고 나서 죙일 화장실가고 피부발진생김.돈까스 보다는 상온에 소스가 문제인듯."
빡세,24,129,4.7,2022.03.15.,4.0,치즈돈까스 맛있네요 ㅎㅎ
◡̈,2,6,5.0,2022.01.07.,5.0,
김종현,5,4,5.0,2021.12.21.,5.0,입대하기전에 자주갔는데 전역하고와서도 항상 맛있네요주방장님과 직원분들 분위기도좋고 서버분들도 친절하십니다.메뉴는 치즈돈가스 추천드려요. 다른곳과 차별점이 확실한 꽉찬치즈입니다.
쮸,12,21,3.7,2021.11.19.,4.0,가격도 맛도 무난하고 바삭한 돈까스 먹고싶으면 굿돈까스가 의외로 무난하기 힘들죠알밥 맛있었어요
무지개,32,263,4.2,2021.09.30.,3.0,한번은 가볼만한 곳입니다.
Barcia,43,686,4.5,2021.09.05.,4.0,편하게 부담없이
.,26,151,2.6,2021.04.23.,4.0,먹을만해용
🥫,11,29,4.4,2021.04.16.,3.0,아기~젊은 입맛은 되게 좋아하실 거임 소스가 딸기 바나나 등이라서
김대충,33,107,3.7,2021.03.21.,2.0,대표 메뉴 치즈 돈까스는 돈까스 하나하나에 치즈가 엄청 들어가있어서 맛은 있음. 하지만 전반적인 양은 적은데 가격은 엄청 비쌈. 소스 여러가지 맛 있는데 맛이 다 비슷비슷하고 싸구려 맛이라 뭐하러 있는지 모르겠음. 김치랑 단무지를 그때그때 내오는게 아니라 식탁 옆에 있는 통에서 덜어먹는건데 비위생적이고 미지근해서 찝찝함. 사람 드럽게 많음. 치즈 돈까스 유명하다 해서 그것만 딱 먹을거다 하는 사람한테만 추천. 나머지 메뉴는 비추천.
gio_h,4,6,3.7,2021.03.19.,5.0,
ㅇㅇ,13,75,3.7,2021.02.24.,4.0,
나진짜먹는거좋아해,25,85,3.9,2021.01.23.,1.0,맛이없어용
Rae,32,117,4.2,2020.11.23.,1.0,돈가스가 특출나게 맛있는 것도 아닌데 위생보고 충격이었어요.. 화장실도 너무 협소하고 더럽고.. 사장님이 너무 심란하게 움직이고 ㅠㅠ 제 취향이 아닌 거 일 수도 있겠지만 너무 더럽습니다..
듀리주아,4,5,3.4,2020.11.16.,5.0,음식도 나쁘지 않고 직원분들도 엄청 친절했어요 오늘 오랜만에 홍대 갔는데 가는곳마다 다들 너무 심하게 불친절하셔서 짜증나려던 찰나에 여기는 너무 친절하셔서 기분 좋게 저녁식사 했습니당~!
힣,6,17,3.6,2020.10.19.,1.0,최근에 갔는데 치즈가스 4개줌 밥 다 먹어보니까 맨 밑에 날파리 죽어있더라고요.. 이 시국인데 위생상태 걱정되네요
김지지,12,26,3.0,2020.07.18.,4.0,치즈 돈까스 먹었는데 치즈 양 많고 좋았어요 다만 두조각 먹으면 느끼해서 더 먹기 힘듦 그리고 소스가 별로였어요 바나나 딸기 일반 소스 있는데 바나나는 눈길도 안줬고 딸기 일반 둘다 대체적으로 좀 시네요 매장이 넓은편은 아니예요
리뷰어,36,176,3.0,2020.07.17.,4.0,치즈 많고 사장님 친절알바보다도 더 열심히하는 모습 보기 좋음다만 매장 내부 시끄러운 음악때문에 정신없음
ps,5,13,4.7,2020.06.03.,5.0,존맛탱 가격도 저렴
굴자,27,85,3.6,2020.05.05.,1.0,빵가루 너무많음 기름 오래된거씀 치즈들어가있는건 기대이하의 맛 돈까스 자체도 그닥
용준🙌,2,2,5.0,2020.05.03.,5.0,죠아
coconut,6,9,3.9,2020.04.27.,4.0,라멘은 별로지만 돈까스는 진짜 맛있다고 생각했어요
Dj,7,35,4.5,2020.04.21.,5.0,
오도송,32,170,2.7,2020.03.28.,1.0,극히 평범이하
고갱,28,153,3.6,2020.03.11.,2.0,코로나19 라는 이유 제외 하고도 기본적으로 주방에서 마스크 기본 아닌가....그리고 돈까스 튀김옷이 잘 분리됨.
K,23,72,2.3,2020.02.08.,2.0,그닥 맛있진않았음
집사,28,112,3.3,2020.02.03.,1.0,대체 왜줄서서먹는거임 낚여서 들어갔다가 개빡침 위생도 심히 안좋아보여서 배아플까봐 걱정함 고등학생때 모의고사끝나고 우르르 몰려가면 존맛이라고 먹었을 맛은 둘째치고 바닥에굴러다니는 먼지덩어리가 신발에 막 달라붙음
JkeM,31,173,4.2,2020.01.29.,3.0,"왕돈까스는 생각보다 평범한 맛이었고 치즈는 사실 처음이라 맛 평가가 불가능 합니다 ㅠㅠ 저는 맛있었어요! 다만 알바 분들이... 손님들보다 더 소란스럽습니다. 세, 네 분이 일 얘기는 아니고 잡담 하시는데 신경 쓰일 정도로 너무 크게 왁자지껄 하시니 대학교 축제 부스에 온 건지 주점에 온 건지 헷갈릴 정도였어요. 사장님이 개방적인 스타일이신지 뭔지 내부 사정은 잘 모르겠으나 관리가 좀 필요할 듯 합니다.. 소꿉놀이 보는 느낌 이었어요.."
서원,3,1,1.0,2020.01.21.,1.0,정말 맛없어요 달콤카츠랑 치즈카츠 시켰는데 달콤카츠는 부드러운 부위라면서 퍽퍽해서 턱이 아프고 치즈카스는 그냥 거대한 치즈스틱같아요. 차라리 치즈스틱이 맛있을듯. 샐러드가 제일 맛있어요 가지마세요.
ari,7,13,3.1,2020.01.18.,1.0,20분 줄서서 먹었는데.. 진짜 맛없습니다.. 기다려서 드시는 분들의 혀 구조가 궁금할 정도 입니다.  차라리 김밥천국가셔서 돈가스 사먹는게 나을듯
wjrhtkadldpdy,35,148,4.2,2020.01.13.,4.0,알밥은 확실히 별로였어요^...^ 근데 다른 메뉴들은 다ㅏㅏㅏ 맛있었어요!!!치즈가츠 시키는 분들은 꼭 메밀면도 같이 시키세욥조합 개꿀쓰 ..
이희주,1,3,3.3,2020.01.06.,3.0,고기가 엄청 부드러웠다.알밥이랑 세트로 먹었는데 알밥도 그냥저냥 괜춘 가게 위생은 좋아보이진 않았음
^^,11,16,3.9,2019.12.30.,5.0,안심이 진짜 맛있다
망구,3,3,2.7,2019.12.28.,1.0,먹는데 옆 테이블에 바퀴벌레 지나가는거 봄 ㅠㅠ
ㅋㅎㅎ,43,371,4.3,2019.12.16.,1.0,
1919,10,19,3.8,2019.12.12.,2.0,달콤카츠였나? 먹었는데 그냥 그랬구요 치즈돈까스는 하나 두개 먹기엔 맛있는데 너무 느끼했어요
상수동핵주먹,23,30,4.4,2019.12.11.,2.0,잘 모르겠는 맛집..
ㄹㄹ,33,201,2.4,2019.10.31.,1.0,진짜 개맛없네요.. 그냥 동네 분식집 돈까스 사드세요 그런데보다 훨 맛없음 가격도 비싸고 ㅋㅋ
한선비,6,8,2.4,2019.09.29.,2.0,3호점 갔는데 조금 불친절하네요... 맛은 음...
크루,23,126,3.8,2019.09.27.,3.0,그저 그랬던걸로 기억합니다.
Dew,17,34,3.6,2019.09.21.,2.0,"치즈돈가스 먹었다. 치즈가 돈가스 안에 있는 형태가 아니라 밖에 그냥 얹어 놓은 것이라, 두 조각 먹었는데 다른 돈가스의 치즈는 이미 굳어서 먹기 힘들었다.그리고 알바하시는 분들이 친절한 것과 별개로 공간이 없어서 시끄럽고 산만했다.딸기 소스와 바나나 소스는 의외로 특색이 없다."
이재령,25,507,2.7,2019.09.09.,2.0,
배재현,67,591,3.5,2019.08.19.,3.0,돈까스전문. 주차공간 제로.치즈돈까스 ㅡ 맛보통. 강추수준은 아님.
Nora,1,1,5.0,2019.07.31.,5.0,
ㅇㅅㅇ,12,8,2.1,2019.07.22.,1.0,카츠가 식어있고 따라서 치즈도 굳어있어요 인스타 맛집이라고 해서 갔는데 돈 아까워서 다시는 안 갈 거예요
알리오올리오,24,141,4.2,2019.07.09.,5.0,소스도 맛있고 인생 돈까스
(❛◡❛)✿,14,26,4.4,2019.06.15.,2.0,줄 서서기다릴만큼은 아님
먹는재미로사는,36,156,3.4,2019.05.25.,2.0,치즈카츠 먹는데 왜그렇게 목이 막히던지ㅠㅠ메밀소바는 그냥 인스턴트 먹는 맛이었어요.일반 돈까스도 그저그랬던.버터갈릭감자튀김도 돈아까웠던 것 같아요
마루,11,19,3.3,2019.05.18.,1.0,러움
이대운(LeeDaeWoon),52,519,3.9,2019.05.16.,4.0,역시 치즈가 살아있네요^^!!
さくら,1,1,1.0,2019.05.13.,1.0,
山本太郎,7,12,1.0,2019.05.13.,1.0,
J,29,59,4.7,2019.05.03.,5.0,맛도 좋고 정말 친절히 대해주셨어요! 다시 재방문 할 의사 충분합니다
맛있는데만가고싶다,17,79,4.0,2019.05.03.,3.0,
야매미식가,32,179,3.8,2019.03.10.,2.0,여기 왜 줄서먹는지 하나도 이해안감ㅋㅋㅋㅋㅋㅋㅋ 치즈돈까스 다른데가서도 맛있는곳 많아여... 웨이팅아니였으면 3갠데 웨이팅으로 -1
Etienne,3,48,4.1,2019.03.08.,2.0,
