user_name,user_rank,num_response,user_star,time,rating,content
별점조작시 후기 계속 업데이트,35,112,3.9,2024.04.23.,1.0,후기 1인 사람 400명 이상
유정,3,1,5.0,2024.04.22.,5.0,안주가 멋있고 분위기가 맛있어요
최예훈,2,1,5.0,2024.04.21.,5.0,전반적으로 분위기가 좋고 가격대에 비해 많은 양과 무난한 맛이었어요
김태우,3,1,5.0,2024.04.21.,5.0,딸기 막걸리 시켜먹었어용 딸기 짱 많이 들었구 딸기라떼 맛 나서 넘모 맛있게 먹었아여😆🥰
.,3,1,5.0,2024.04.21.,5.0,가성비 있고 분위기가 미쳤어요
신재의,2,2,5.0,2024.04.20.,5.0,국물도 진하고 돈까스도 바삭하고 맛있네요..!👍맛있게 먹고갑니다^^!
이효진,2,1,5.0,2024.04.20.,5.0,비 오는 날엔 역시 전에 막걸리 ㅎㅅㅎ김치전 짱 맛있고 육회가 진짜 진짜 진짜 맛있습니다!!!
🧐,6,10,3.8,2024.04.20.,5.0,비오는 날 전 먹구 싶어서 찾다가 우연히 발견했는데 완죤 맛집이네용 담에 또 올거에요
.,2,1,5.0,2024.04.20.,5.0,매장 컨셉이 진짜 조선시대 온거같아요 미쳤습니다 맛도 좋구요
Chialing,1,1,5.0,2024.04.20.,5.0,분위기  좋다 음식도 맛있다
이채원,2,1,5.0,2024.04.19.,5.0,맛있어서 푸파 찍는 중이에요 생일주 챙겨주시는 센스도 아주 좋아요
장원석,4,1,5.0,2024.04.19.,5.0,정말 맛있습니다분위기좋은 !!
신승원,3,1,5.0,2024.04.19.,5.0,홍대 올 때마다 방문하는 집입니다.오늘도 맛있게 잘 먹었습니다.
윤아름,2,1,5.0,2024.04.18.,5.0,맛있어요!!!!
송민서,2,1,5.0,2024.04.18.,5.0,음식도 맛있고 술집 분위기가 넘 좋아용! 또 오고 싶어용
희원,2,1,5.0,2024.04.18.,5.0,노래가 맛있고 안주가 재밌어요
최정록,2,1,5.0,2024.04.17.,5.0,안주가 너무 맛있어요~특히 닭발이 매콤하고 맛있네요 또 와야겠어요
🍑,3,2,3.0,2024.04.17.,5.0,재방문💖👍🏻👍🏻👍🏻
.,4,5,3.0,2024.04.17.,3.0,"1. 인테리어, 분위기 좋음2. 술이 너무 늦게 나왔음 (10분 넘게 기다림)"
강용,2,1,5.0,2024.04.15.,5.0,분위기 좋고 사람 많아요.
이지헌,2,1,5.0,2024.04.15.,5.0,맛있어요!! 강추합니다
히졍,3,1,5.0,2024.04.15.,5.0,입구에서부터 미쳤다는 소리가 절로 나왔어요 미쳣.. 분위기도 너무 좋고 안주도 너무 맛있어요 직원분들도 친절해서 기분 좋게 술 마시고 왔습니다 강추🤭
Sojung,4,11,4.3,2024.04.14.,5.0,음식도 맛있고 분위기도 좋아요!!
김규민,2,1,5.0,2024.04.14.,5.0,너무 맛있고 분위기도 좋고 알바분들이 친절하십니다
이동욱,2,1,5.0,2024.04.14.,5.0,맛있고 분위기 좋아요
남창모,2,2,5.0,2024.04.13.,5.0,정말정말 맛있어요
김현준,2,1,5.0,2024.04.13.,5.0,조아요
백지선,2,1,5.0,2024.04.13.,5.0,맛있고 양 많아요!
히히,5,5,4.0,2024.04.13.,5.0,전이랑 두부김치에 막걸리 조합? 참을 수 있냐고~
🫠,2,1,5.0,2024.04.13.,5.0,분위기가 진짜 신기하고 조선시대 컨셉이 재밌어요ㅋㅋㅋㅋㅋ 직원분들 다들 너무 친절하셨습니다 :)
BB,3,5,4.2,2024.04.13.,5.0,좋아요
^^,2,1,5.0,2024.04.12.,5.0,
신민철,2,1,5.0,2024.04.12.,5.0,존맛입니당 또 방문할게요!
예원,3,2,5.0,2024.04.12.,5.0,깔끔하고 룸이 넓고 분위기 있어요! 모임하기 좋아요 😍
김유성,3,1,5.0,2024.04.11.,5.0,분위기도 좋고 안주도 맛있어요~
김아영,1,1,5.0,2024.04.10.,5.0,분위기 좋고 안주도 맛있어요!
은서,2,1,5.0,2024.04.10.,5.0,분위기 좋고 너무 맛있어요. 단체로 오기 좋아요*^^*
이진유,2,1,5.0,2024.04.10.,5.0,분위기가 조선시대처럼 만들어져 있어서 좋네요! 안주도 맛있어서 다음에 또 방문하고 싶네요!
SW,3,1,4.0,2024.04.10.,4.0,가성비 최고 홍대 막걸리 최고집 단골 예약입니다
정찬영,1,1,5.0,2024.04.06.,5.0,맛있네용 ㅎㅎ
