user_name,user_rank,num_response,user_star,time,rating,content
휴대폰사용금지,6,6,4.3,2024.03.10.,5.0,남자친구랑 커플링 맞추려다가 의미있게 직접 만들어보자하며 방문했는데 너무 재밌고 생각보다 퀄리티도 좋아요!!
장미,13,37,3.9,2024.03.02.,3.0,
양양구,2,1,5.0,2024.02.11.,5.0,일하시는 선생님분들이 돌아 다니면서 단계마다 자세히 설명해주셔서 똥손인 저희 커플도 즐겁게 만들수 있었어요 커플링 각인도 계속 바꿨는데 친절하게 대해 주셨습니다 커플링 만들기 적극 추천드려요
이기연,2,1,5.0,2024.02.11.,5.0,직원들이 친절하고 반지 디자인도 다양해요! 원하는대로 옵션도 바꿀 수 있어 좋았어요좋은 추억 만들고 갑니다:) 번창하세요~
Jeany,15,24,3.7,2023.12.16.,5.0,"I love my new ring. They had a good selection. They help you through the whole process. We didn't have to make an appointment. It's great for couple, but also friends or by yourself."
이승수,11,25,4.4,2023.10.20.,5.0,
FLEX,28,109,4.0,2023.10.01.,1.0,직원 한분 불친절해요 ㄹㅇ..무시당하는 기분 들더라구요
Mira,4,2,5.0,2023.09.11.,5.0,"너무 좋은 경험이었어요! 정말 감사합니다✨ 정말 좋은 곳이고, 마스터클래스를 찾기도 쉽고, 예약하기도 쉽고, 주인님도 너무 친절했어요! 거기서 정말 즐거운 시간을 보냈어요!"
최상근,9,12,2.0,2023.04.15.,1.0,불친절
김진원,15,17,3.2,2023.03.08.,4.0,"가성비가 좋은 생각은 딱히 안 들고 직접 만드는 거에 의미를 두는 것 같아요 추가 비용 생각하면 싼 편은 아니에요 옵션 몇 개 추가해서 한 명당 55000원 정도가 나왔었는데 싼 가격은 아니쥬,,, 도금 같은 당일날 픽업 불가한 옵션도 있으니 참고하세요 픽업하러 갔더니 머 케이스 같은 것도 없고 반지만 딸랑 주시길래 그것두 당황했네요 그래도 직원 분들 친절하게 계속 매장 안 돌아다니면서 안내해주시고 옵션 추천도 해주셨어요 만드는 것도 재밌어서 커플끼리 가서 얘기하면서 반지 만들고 오는 거 좋을 것 같아오"
남들을위해,7,8,3.0,2023.01.29.,1.0,죄 지은것마냥 눈치보며 불친절 서비스에 돈을 내고 왔어요:) 세상 대재앙을 체험해보고 싶은분들께 추천!
라미97,45,452,3.3,2022.11.20.,3.0,인근 반지대학보다추가비용들이 비싸요 탄생석은 사기급큐빅 박고 15000?
stella,26,60,4.7,2022.09.07.,5.0,저렴한 가격으로 예쁜 반지를 만들 수 있었습니다.처음인데 친절하게 잘 알려주셨어요😊
분당보안관,49,315,3.5,2022.08.15.,4.0,처음 해보는 반지만들기였다. 생각보다 선택지가 많았고나름 재밌으며 신선한 체험이었다.
나탈리야,3,1,5.0,2022.05.26.,5.0,반지 직접 만드는 게 처음이라서 새로운 경험이 재미있었어요!
bellissa,25,155,4.3,2022.05.18.,4.0,친절하시네요
롱이,2,1,5.0,2022.03.05.,5.0,직원분이 너무 친절하고 귀찮을 정도로 불러도 달려오세요 ㅜㅠ 손안다치게 하나하나 알려주세요
야호오,3,1,5.0,2022.03.03.,5.0,만드는데 시간가는줄 몰랐어요 반지디자인이 너무 많아서 고르는데 시간이 많이 걸렸는데도 눈치주시지도 않고 만드는것도 처음이라 어려울 줄 알았는데 선생님들이 너무 친절하게 잘알려주셨어요! 분위기도 너무 좋고 연인끼리 친구끼리 오면 너무 좋을 것 같아요 ♡ 감사합니다 여기저기 추천 많이할게요 !!
Erin,4,2,5.0,2021.09.28.,5.0,"Went to make rings today and had the best time! The staff was so nice and one of the girls even spoke English to me when explaining things, without me asking. I thought that was really nice! Such a great experience. (:"
김지수,13,21,4.0,2021.08.18.,3.0,재밌긴 했는데 젊은 직원분이 불친절하고 자세히 안 봐주셨어요
유진,21,20,4.9,2021.03.20.,5.0,친절하시고 재밌었어요!
자리있음,33,128,3.7,2019.08.26.,1.0,"반지만들고 보석 박아야하니 한시간뒤에 찾아오라해서 한시간뒤에찾으러갔는데 반지받고 나오는길에 보니 반지하나는 보석이랑 먼지랑 같이 끼어있고 반지다른 하나는 보석이 사라져있더라고요 사진자세히 보시면 보석박으면서 옆에있던 은자리가 좁아서 보석이 은뚫고 나왔네요만드는데 거의 10만원들였는데 다시 찾아가서 환불해달라하니 ""만든건 환불이안돼요""이러길래 비슷한디자인 반지도 똑같이 이런가 확인해봤는데 ""다른손님 반지만지면 안돼요"" 기분팍상하네요 다른 반지도 똑같이 보석박으면서 보석주변 은이 찌그러지고 얇은 은이 구멍이 뚫려서 보석이 은밖으로 나왔더라고요은인데 쇠냄새납니다 왜나는건진모르겠지만 쇠로만든건가 의심이가네요..  걍만들지말고 돈주고 사세요 진심 돈아까움 서비스 개별로"
준우,17,76,4.6,2019.01.01.,5.0,직원분들이 친절하고 손재주 없어도 잘 도와주세요
