user_name,user_rank,num_response,user_star,time,rating,content
홍밥러,46,215,4.3,2024.04.21.,4.0,떡볶이랑 순대는 별로고 오직 튀김만이 맛있습니다. 실내는 테이블 끈적하고 위생적인 느낌은 아니라 튀김 포장 추천
별은 후하게 리뷰는 솔직하게,7,9,4.9,2024.04.15.,5.0,튀김 겁나 큼 맛있음 김치말이 어쩌고 튀김 엄청 큼위생 예민하면 패스
ㄷㅇ,35,399,4.0,2024.04.02.,4.0,튀김은 정말 맛있는데 맥주가 김도 많이 빠져있고 물을 많이 타신 것 같아요 ㅠ
놈코어,8,10,3.2,2024.04.01.,5.0,사장님도 친절하고 맛은 말모 말모 ㅈㅁㅌ
❤️,23,84,3.8,2024.03.26.,5.0,너무 맛있어요!!특히 김말이♡♡♡ 김말이 안에 깻잎이 있어서 더 맛있는 것 같아요!!순대는 딱히 제스타일은 아니지만 그래도 맛있었고 튀김이 너무 맛있었어요집에서 밀키트로도 해봤는데 가서 먹는게 훨씬 맛있는듯 하네욤!
무우,31,106,4.2,2024.03.18.,3.0,튀김 식감은 좋은데 떡볶이랑 튀김이 좀 많이 달았어요
수아,22,64,4.7,2024.02.29.,4.0,튀김 순대 떡볶이 맛있었어요~그런데 노포라서 바쁘시겠지만 청소를 반짝반짝하게 하면 더 좋을거 같습니다^^;
초밥킬러,21,54,3.5,2024.02.28.,5.0,튀김 맛있어요!!떡볶이도 맛있는데 튀김이 메인내부가 좁아서 아쉽지만 좋아요
락앤락,15,139,4.3,2024.02.12.,4.0,
해피,2,8,4.0,2023.12.30.,5.0,
박재찬,47,332,3.9,2023.12.26.,5.0,내부에 미니 홀이 있군요..잘 먹었습니다.
뉴,18,47,4.3,2023.12.05.,5.0,홍대에 살던 20살의 추억...✨튀김이 찐입니다
m10,10,190,4.3,2023.11.18.,5.0,
이연국,21,27,4.7,2023.11.01.,4.0,점심에 주로 갑니다 바로 튀긴 튀김과 적당한 어묵과 떢볶이는 덤이에요
소마의식극,37,176,4.2,2023.10.26.,4.0,메뉴마다 다 맛있는데 대체적으로 좀 달아요!
가,13,18,3.7,2023.10.26.,4.0,맛있네요 매장만 좀더 깔끔해지면 만점일듯
이두실,20,66,4.8,2023.10.22.,5.0,고등학생 때부터 사먹은 곳. 맛있어요
세모눈,31,80,4.7,2023.10.11.,5.0,달고 자극적이지 않은 떡볶이! 순대도 맛있는데 튀김이 바삭하고 기름잡내가 안나서 좋았어요.아 그리고 자리는 가게 안쪽으로 들어와야 있습니다 밖에서 당황하지 마세요
카카오8년투자후익절,52,915,3.5,2023.09.17.,4.0,"(배딜이용) 떡볶이, 순대는 쏘쏘. 튀김류가 분식치고 괜찮은 편."
qwert,16,68,3.7,2023.09.16.,1.0,가게앞 길거리에 내놓으신 음식쓰레기통이 너무 많고 더럽습니다. 악취도 많이 납니다
강현구,2,3,4.3,2023.08.24.,5.0,
글글,13,22,3.6,2023.08.20.,5.0,평생팔아주세요..최고의 김말이 …
노진경,8,8,4.9,2023.08.03.,5.0,데이트코스로 딱이네요떡볶이도 맛있고 말해뭐해 튀김은 최고입니다양도 많아서 가성비 좋아요
편마늘,21,46,4.7,2023.07.31.,5.0,멀어져서 요즘은 자주 못먹지만 12년째 가요김말이 튀김 간장소스에 찍어먹으면 극락!!엄청 오래 전 한 때 신규 알바분이 튀겼을때 좀 읭?한 시절은 있었는데 지금은 맛있습니당!최애는 오징어 김말이고 추천 메뉴는 깻잎이랑 완자예요 ㅋㅋㅋ
dmfkfldh,11,11,3.7,2023.06.10.,5.0,"삭 먹자고 꼬셔서 지금 여자친구 만납니다.떡볶이도 자극적이지 않아 맛있고, 튀김이 뒤집니다. 김말이 꽈추튀김 사릉해."
띠용,11,9,3.8,2023.06.06.,4.0,여기 튀김들이 정말 맛있어요. 종류가 다양해서 골라먹는 재미도 있습니다! 떡볶이는 무난하지만 살짝 아쉽습니다. 튀김괴 더 어울리는 양념이면 좋겠습니다.
5자리뷰어,22,97,4.6,2023.06.05.,5.0,김말이왕큼
유진,4,4,3.8,2023.05.18.,5.0,김말이랑 오징어완자 항상 맛있어요
dkdkdk,3,14,4.7,2023.05.16.,5.0,
ㅇㅇ,30,156,3.9,2023.05.14.,4.0,떡볶이 그저그럼.하지만 튀김이 환상적임.낮에 맥주를 부르는 맛.물론 시설이 노후되고 약간 찜찜한? 부분이 있지만 그건 감내해야 할 듯.
메릴,31,188,4.0,2023.05.03.,5.0,이렇게 바삭한 고추튀김이라니
김여름,12,64,4.7,2023.04.22.,4.0,튀김
서쩝박사,20,34,4.4,2023.04.04.,5.0,떡볶이는 아는맛! 튀김이랑 순대가 진짜 맛있어용!!
최,5,38,4.1,2023.03.11.,4.0,
