user_name,user_rank,num_response,user_star,time,rating,content
박유빈,4,4,5.0,2024.02.05.,5.0,
이나현,4,3,5.0,2024.01.05.,5.0,강아지 동반 가능해요2단계 꽤매움
랄랄,14,34,3.1,2023.10.19.,5.0,해물떡볶이 맛있어요.. 그때갔을때 알바생분도 친절
구성모,4,1,5.0,2023.10.04.,5.0,씨볶이 개맛있움 돈나짜장나씨부엉~
나다,24,63,3.6,2023.07.04.,3.0,"이만원짜리 가격 , 만원짜리 양"
석현,41,192,4.4,2023.06.11.,3.0,비주얼에 비해 맛은 평범해요
신짱구,34,105,4.0,2023.05.06.,3.0,씨떡볶이 후기가 별로라 미트시킴입짧은 여자셋이 대짜 시켰는딩 딱 적당한양.맵찔이에겐 많이 매웠음. 비주얼 빼고는 전부 무난.그럭저럭 흔히아는 맛.. ㅊㄴㄷㅂ과 컨셉 비슷한듯.
조근형,3,1,5.0,2023.04.09.,5.0,
원슐랭가이드,37,168,2.5,2023.02.26.,2.0,비주얼 최고 맛 평범 가성비 최악
ㅋㅆㅇ,37,695,3.8,2023.02.16.,3.0,
반초파민,16,80,2.7,2022.12.31.,5.0,
별점만 준다,4,198,3.6,2022.12.22.,4.0,
전사의 긍지,34,234,4.1,2022.11.02.,3.0,햄버그가 생각난다. 근데 아프게 맵다
SOL,100,"4,533",3.3,2022.10.12.,3.0,"가야는이유 : 해산물이 담긴 비주얼과 걸쭉한 매콤함의 떡볶이안가는이유 : 가격대비로는 평이씨볶이 : 해산물이 들어간다는게 특이하긴 하지만 국물이 우러나는 느낌은 아닌, 떡이나 어묵의 양이 상대적으로 적은, 보통 매운맛도 그다지 매운 것은 아니라 더 높여서 자극적으로 먹는게 낫나 싶기도, 튀김은 바삭함"
장주찬,25,33,4.4,2022.08.17.,4.0,조용한 골목길에서 느끼는 분식과 술집(?)의 느낌! 해산물과 쫄면이 들어가서 살짝 해물짬뽕떡볶이를 먹는 느낌이었습니다!!
.,11,15,3.5,2022.08.04.,5.0,
Traveler,5,7,2.4,2022.07.06.,2.0,평점과 비주얼에 갔지만 가성비는 아니었던...잘 못먹는 여자분 두분가면 적당한 양.좀 먹겠다하면 양이 부족떡볶이 맛은 걍 동네 떡볶이가 헐 맛나고 튀김들은 기름냄새두번가기 힘든 곳
🥸김주사🥸,35,135,3.4,2022.06.28.,3.0,비쥬얼은 좋으나 양념은 평범합니다여기는 튀김맛집 ㅋ
슬기로운평점생활,35,787,3.6,2022.03.22.,3.0,
ㅇㅅㅇㄷ,67,374,4.4,2022.01.21.,5.0,개인적으로 옆에 있는 또떡 이상이라고 생각함.... 비주얼에서 알 수 있다싶이 토핑 풍부하고 맛도 있음
코튼짱,15,31,4.1,2021.12.29.,4.0,맛있어요~! 눌러붙은 맛이 맛있어여
🤍,62,221,4.1,2021.10.23.,2.0,비주얼 갓벽하지만 특출난 맛은 모르겠음 떡볶이 맛이 애매함 오히려 떡볶이보다 치즈 볶음밥이 더 맛있었다 주말에 가니까 2시에도 웨이팅이 살짝 있었으니 참고하세욤 재방문의사는 없음
맛사냥꾼,55,188,4.5,2021.08.05.,5.0,해물이 정말 가득해서 맛있었음떡볶이랑 해물의 조화~ 최고임!!!
맛있으면또온다멍,51,151,4.3,2021.02.05.,5.0,미트볶이도 너무맛있고더블치즈볶음밥도꼭드세요다른메뉴먹으러또갈게요^^
사냥꾼,54,706,3.2,2020.11.08.,4.0,달달한 떡볶이ㅎㅎ 나쁘지않음
지구,14,40,4.4,2020.08.05.,5.0,씨볶이‧˚₊*̥(* ⁰̷̴͈꒨⁰̷̴͈)‧˚₊*̥
케빈,11,29,4.6,2020.08.04.,4.0,괜춘!
봄날,23,79,3.8,2020.07.24.,5.0,너무 맛있어서 양이 적은게 분함
Joshi,21,63,3.3,2020.07.05.,3.0,떡볶이 자체가 맛있는 건 아니고 해물은 푸짐하고 보기에 좋음.
Nagne,16,48,4.3,2020.06.22.,5.0,"걍 지존... 가격, 맛, 친절도 모두 굳"
주목,7,6,3.7,2020.05.30.,1.0,평점을 보고 갔지만 그정도의 맛이 아님.그냥 그럭저럭 불맛나는 떡볶이가라아게 맛있다해서 시켰는데 튀김을 잘 못튀기심 ㅠㅜ 기름쩐내남..치즈볶음밥에 치즈양 별로 볶음밥 무난재방문의사없음주문메뉴씨볶이. 치킨 가라아게. 치즈볶음밥4.7점되어있길레 별점 낮게해놓을게요
참지않긔,32,81,4.7,2020.03.26.,5.0,떡볶이에 함박스테이크 진짜 너무 맛있었어요 아담하지만 깔끔하고 애정어린 인테리어가 마음에 들었습니다 이름은 조금 험악(?)한 듯하지만 사장님은 정말 따뜻하고 친절하셨습니다 매운걸 잘 못먹는데 보통맛보다 조금 더 안맵게 조절해주셔서 잘 먹었어요양은 2인레귤러사이즈 기준 부담없이 적당한 느낌이었어요 굉장히 배부르지는 않았지만 만족스러운 정도? 3인이 먹기에는 좀 부족할 것 같고 볶음밥까지 드시면 좋을 것 같습니다. 맛살 튀김부터 함박스테이크까지.. 패티가 아닌 고기가 다져진 함박이라 친구도 너무 좋아했어요ㅎㅎ 다음에 떡볶이 먹으러 또 갈게요!!
🥞,30,107,3.9,2020.02.24.,5.0,리뷰 찾아보고 간건데 사장님 친절하고 맛잇엇슴다또 갈 의향 있어용 ㅎㅎ 그땐 다른메뉴 먹어봐야겟네요
sarah,31,87,3.4,2020.01.15.,4.0,예약해서 갔는데 존맛탱임..또보겠지 마니아였는데 맛이 변해서 다시는 안가는중 여기 테이블은 몇개없고 가게가 아담해요떡볶이라면 매일먹을수있는 여자임일단 해물먹었는데 불맛에 뭔가 오묘한 불맛베이스임 떡볶이소스가뭔가 불맛소스랑 + (?) 어떤걸 섞은 느낌 해물 탱탱하고 맛나요 비린내도 안나고그리고 닭똥집 존맛탱ㅠㅠ근데 마늘 왜케타도록 두셨나요 주방장님마무리는 역시 볶음밥 볶음밥도 맛있음! 볶음밥은 존맛탱까진아니지만ㅋㅋㅋㅋ맛있었어요 아쉬운건 가격에비하면 양이 좀 부족한거같아요즉떡 치곤 비싸긴하쥬 근데 맛있어요 다음엔 미트떡볶이 먹으러갈거임 ❤
eon,16,38,3.1,2019.12.10.,4.0,떡볶이에 볶은 불맛이 남 문어 쫄깃  맛살이나 만두는 좀 딱딱했으나 떡볶이는 맛 괜찮음쿨피스가 캔으로 나옴골목안쪽이라 위치는 취약함
