user_name,user_rank,num_response,user_star,time,rating,content
와,12,11,3.5,2024.03.28.,2.0,먹을만한 가성비 그 이하도 이상도 아님..심지어 청결도 많이 떨어집니다 접시에 음식물 그대로 붙어있고.. 먹고 속이 많이 안좋네요 아침까지ㅠ
ㅇㅇ,30,156,3.9,2024.03.02.,1.0,"참고 먹으려 했다가 이건 아닌 것 같아서 사진찍음. 믿기지 않겠지만 한 입도 안 먹고 치즈 비비느라 숟가락에 음식 묻어있는 거임.토마토새우해산물리조또를 주문했으나 새우는 단 2개. 그리고 토마토소스에 밥 말은 게 나옴ㅋㅋㅋ 리조또는 당연히 그게 맞는데 맛이 딱 '이건 나도 만들 수 있겠다.'라는 생각이 들 정도의 맛.8900원에 뭘 바라나 싶겠지만, 집에서도 만들어 먹을 수 있는 퀄을 왜 굳이 8900원을 내고 먹나 싶은 생각이 듦. 주말이라 바빠서 그런가?근데 딱 봐도 음식 비주얼이 미완성된 느낌인데 이걸 굳이 고객한테 내왔다고? 진짜 별 생각을 다 들게 하는 음식이었음. 양도 적어서 1차로 이곳 가고 2차로 교촌가서 치킨 뜯었다ㅋㅋㅋ10~20대 초반 사람들은 좋아하겠다 싶음."
카페인간,10,13,3.5,2024.03.01.,3.0,개인적으로는 별로인데.... 딱 가격만큼 하는느낌이고 매장 내부가 둘로 나뉘어져 있어요생각했던 것보다 매장도 좁았는데 사람은 또 많아서..스테이크 들어간 메뉴는 그다지 추천 안하고지금은 모르겠지만 피클이나 식기 셀프입니다대충 프랜차이즈화 되지 않은 롤링파스타 같네요
야옹,32,87,4.7,2024.02.28.,5.0,진짜 가성비 갑 맛집. 특히 저거 크림리조또였나...? 빠네 좋아하시면 꼭 드세요 진짜 4살 조카도 엄청 먹을 정더로 맛있어용 직원분들 엄청 뛰어다니시면서 바쁜데 응대 너무 친절합니당
짜잔,8,10,3.9,2024.02.22.,3.0,가성비인지는 잘 모르겠구 가격만큼 나와요가볍게 먹고 가기 괜찮네요
별점조작시 후기 계속 업데이트,35,112,3.9,2024.02.14.,4.0,스테이크가 좀 질기긴 한데 맛있어요.가격 : 12/20맛 : 15/20서비스 : 10/10총점 : 37/50
하준영,12,8,3.4,2024.01.31.,5.0,맛이나 가성비로 여기 따라올 수 있는 곳 우리나라에 없는 듯그리고 사장님 두 분 계시는데 두 분 다 엄청 친절하십니다. 알바생들은 잘 모르겠는데 사장님 진짜 친절하셔요 👍👍
도당,18,25,4.0,2023.12.30.,1.0,메뉴가 20~30분이 지나도 안 나오길래 뭔가 했는데 다른 테이블에 저희가 시킨 메뉴가 갔네요... 이 뒤로도 공연 보는 스케줄이 빠듯하게 있는데 이거 때문에 스케줄 완전 망해서 허겁지겁 먹었네요ㅡㅡ;; 다시는 안 가려고요 연말이라 기분 내려고 갔는데 기분만 팍 상했네요...;; 기다린 보람이 없는 맛입니다
The Man From Nowhere,20,38,3.8,2023.11.22.,5.0,안좋은 후기들이 좀 보이는데 저는 정말 맛있게 먹었고 직원분들도 친절했습니다.
아현,5,2,3.5,2023.11.12.,2.0,1. 손님들 앞에서 어린 신규 알바생을 과하게 혼냄.2. 주방직원 화내는 소리가 홀까지 크게 자주 들림.그 외 큰소리로 짜증내는 홀직원 등.. 가성비 좋고 맛도 괜찮았으나 식사하기 굉장히 불편했습니다. 홀이 세개?로 나뉘어져 있는 것 같던데 되도록 제가 앉은 홀과 다른 홀에 앉는걸 추천드립니다.
