user_name,user_rank,num_response,user_star,time,rating,content
김나연,4,5,5.0,2024.04.22.,5.0,"리뷰 보니까 분위기나 친절은 모르겠어도 떡볶이는 맛있는 것 같아서 가본 건데 맞는듯?? 최근 먹은 떡볶이 중에 제일 근본 맛이었음 튀김도 괜찮았어요+점심 때는 직원들 다 아주머니, 할머니 분들이셔서 그런지 좀 바쁘시긴 해도 친절하심"
오세린,8,22,4.1,2024.04.18.,4.0,요즈음 흔치않은 분식 종류별로 잘 먹엇어요 홍대에서 찾기어려운 저렴한 식사장소ㅎㅎ깨끗하거나 분위기가 좋지는 않습니다 간편하게 먹을 수 있는 곳
냐옹,18,88,3.8,2024.04.09.,4.0,
삼촌식♡빵,6,6,5.0,2024.03.21.,5.0,떡볶이 맛이 기가 막힙니다
뇸,4,6,3.7,2024.03.07.,1.0,떡볶이는 멸치맛? 이 너무 많이 나서 맛 측면에서는 포장마차가 좀 더 나은 것 같고순대 자체는 맛있는데 간이랑 허파는 넘 비려요..
사회인,31,186,2.6,2024.03.06.,3.0,밤에갔는데 손님 널널해보이는데 테이블정돈이 하나도 안 되어있어서 모든 테이블에 전 손님들이 먹다흘린 국물이나 부스러기가있었음닦으러오는 직원도없었음;주방에있는 남직원이 마스크를 안쓰고있었다떡볶이 물비린내나고 보통오뎅 무난순대는 맛있었어서 3점줌떡볶이 메인 음식점인데 떡볶이가 젤 별로임매장관리좀 했으면
핑프도 댓글쓰게 만듦,11,24,4.2,2024.03.01.,5.0,너모마싯넹
Angeleno✅,48,272,3.4,2024.02.27.,2.0,"1) 선결제 키오스크 주문 - 순대 5000원 (내장, 간 골고루 나옴) 보들보들 맛있긴함2) 외국인 손님들도 많은만큼 매장관리를 꼼꼼하게 했으면 좋겠지만 바닥에 물난리, 안 닦긴 테이블 등 깨끗하진 않음3) 밤 10시쯤 늦은 시간에 먹었는데 시끄러운 주방소리, 화난듯이 소리지르는 직원 등 시장 온 것 같은 정신없는 분위기는 아쉬웠음"
02 평가단,75,"1,003",4.5,2024.02.26.,3.0,저렴한 편은 아니고 맛은 그냥 보이는 그대로입니다..!
김동환,8,7,2.0,2024.02.15.,3.0,튀김을 개 대충튀겨줌 하나도 안바삭하고 개 눅눅 순대는 맛도리 떡볶이는 평타라서 3점
흐어어엉,24,54,4.2,2024.02.04.,3.0,시장같은 정신없는 분위기+포차같은 테이블순대 내장 골고루 나와서 좋았네요 떡볶이 맛은 있었습니다메뉴 안받아가면 직원이 소리지르니까 얼른 받아가세요 귀에서 피나는줄 알았네요
everydayhappy,14,43,3.7,2024.01.28.,2.0,나쁘진 않은데....
김춘식,28,190,3.8,2024.01.23.,3.0,일반적으로 생각하는 분식집 떡볶이의 맛다른 떡볶이집과 차별화되는 점은 없으며 재방문의사도 없음
까다로운사람,50,"1,026",3.6,2024.01.21.,3.0,
ㅎㅇ,12,11,4.2,2024.01.19.,5.0,
WSN,9,15,2.9,2024.01.14.,1.0,겁나불친절사전에 의견전달했음에도안해놓고 오히려 따짐남자분자세가 딱 조폭행사하는 양아치임음식에도 뭐가 들었는지 먹은 후 두드러기 발생이런 마인드로 음식이 청결하겠어?정신들 차리세요!
ㅇ,3,7,4.3,2024.01.09.,5.0,맛있어요! 자주 가려고용
어쩔,10,12,3.3,2023.12.28.,3.0,어떤날은맛있고 또 어떤날은 별로..
이혜미,4,10,4.8,2023.12.16.,5.0,
이 승현,5,5,4.4,2023.12.08.,5.0,포장마차처럼 인테리어 해두셨는데 나쁘지않아용다만 당연히 분위기가 좋거나 하진 않음사람 많고 시끄러운건 감수할만큼 가성비 굿옛날이랑 맛이 조금 변한 것 같긴한데맛있긴해용
봄,7,8,4.9,2023.12.05.,5.0,
gogodidi,5,24,4.5,2023.12.02.,4.0,추억의 그 맛
김동우,3,1,3.0,2023.12.01.,3.0,
빡치면후기씀,10,13,2.8,2023.10.25.,1.0,반말 찍찍하지마시길..
소쩍꿍,23,51,3.8,2023.10.16.,3.0,그냥저냥 !
김규태,5,17,3.3,2023.10.04.,4.0,
낙천적으로 바라보자,31,114,4.6,2023.09.30.,5.0,
필제,32,99,3.6,2023.09.23.,3.0,떡볶이는 맛있다.
멍멍,21,158,3.6,2023.09.17.,3.0,
요셉,1,1,5.0,2023.09.15.,5.0,
Jun Ryu,27,147,3.8,2023.08.22.,3.0,특출나진 않지만 적당한
효요,22,115,3.8,2023.08.18.,5.0,떡볶이 진짜맛있어요
푸다뱅,75,933,4.2,2023.08.11.,3.0,"어묵국물을 잘 이용한 전형적인 떡볶이, 튀김에서는 기름냄새가 좀 있어서 아쉽습니다."
태경,3,4,5.0,2023.08.04.,5.0,
먀무,7,7,2.7,2023.08.02.,5.0,최근에 키오스크 생겨서 편함딱 포장마차 떡볶이 땡길땐 여기로가면 됨
구드,5,11,3.1,2023.07.14.,1.0,너무 맛없음. 지저분함.
이가온,11,19,4.1,2023.07.09.,5.0,ㅠㅠㅠㅠㅠ조폭떡볶이 강추 진짜 존맛탱홍대 오면 꼭 빠지지 않고 가는 집
1점or5점,24,47,1.2,2023.06.24.,1.0,사장이랑 직원 싸가지없는데 구구절절 문제점 지적해주기도 뭣같아서 법규하나쓰고 1점먹이니까 블라인드거는것보소ㅋㅋㅋㅋㅋㅋㅋㅋ 사장포함 직원들 관리나 해 리뷰관리만 하지말고~~~~~~~ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
옥서연,4,7,4.4,2023.06.23.,5.0,홍대 일짱 떡볶이
뿜,14,25,3.3,2023.06.21.,1.0,오늘 먹고 배탈 남순대는 모양도 그지 같음저번에 너무 맛있게 먹었어서 재방문 했는데 다신 안갈듯 ㅋ 하
종서,2,1,4.0,2023.05.30.,4.0,
.,24,75,2.7,2023.05.25.,1.0,이제부터는 홍대에서는 식사 않하는걸로....이제 알았습니다.왜 외국인들이 한국와서 욕하고가는지....여기 떡볶이먹는데 번호부르면서 성질내고 욕하고 맛은 거지같고 길거리 떡볶이가 더 맛있네요.사장님께서 이글을 보신다면 당장 직원들부터 바꾸세요.이것만해도 반은 넘게 먹고 들어갑니다.어디서 길거리 폰팔이 애들 데리고 장사하는건지....직원부터 바꾸세요.그리고 진짜 맛 별로예요.
Y,14,22,4.8,2023.05.14.,5.0,"진짜 개존맛탱,,, 엑소때매 먹다가 이젠 너무 빠져버렷어요 여기 떡볶이랑 순대 진짜맛맀음 ㄹㅇ떡볶이 순대 개추천"
.,40,299,3.1,2023.04.12.,5.0,다 맛있음 특히 순대 짱
마스크,21,47,3.6,2023.03.27.,1.0,바로 이전에 글 남기신 분이 제가 하고싶은 말들을 모두 써주셨네요...여기도 문 닫을 날은 시간 문제네~
띠용,8,14,3.5,2023.03.01.,5.0,맛있어요 우리가 생각하는 옛날 분식맛나고 가격도 저렴한축에 속해요 적당히 깨끗하고 오픈주방이라 좋아요 사람많아서 음식나올때 최소 10분정도는 기다려야합니다 엄청 뜨겁게나오지도않지만 식어서나오지도않아요
