user_name,user_rank,num_response,user_star,time,rating,content
난몰라,4,7,2.9,2024.04.03.,5.0,한번 먹어보고 반해서 계속 찾아오는 집일찍오세요 저녁시간 다되서오면 꽉차있어요다같이 가서 먹이면 담에 또오자고 하는 집 개강추 ㄹㅇ
애용,16,29,3.9,2023.10.01.,4.0,곱창전골 중 두명이 배부르게 먹었어요 곱창전골에 곱 빠져있는 가게도 많은데 여기는 곱이 차있어요! 기본반찬으로 나오는 부추무침이 진짜 개존맛이에여
0-0,24,104,4.3,2023.06.10.,4.0,곱전 심심...삼삼해요
via,31,106,4.5,2023.04.30.,5.0,곱창전골 맛있어요
Jay,85,"3,044",1.2,2022.12.18.,1.0,소주 및 맥주 5000원
there,7,187,2.6,2022.12.03.,3.0,
믹,15,34,3.8,2022.10.14.,5.0,근처 안 사는데도 구이는 여기서만 먹어요... 너무 맛있어요 ㅠㅠ 갈때마다 부추무침이랑 기본으로 주시는 찌개 겁나 퍼먹어요...
차차>_<//,4,7,4.9,2022.01.26.,5.0,곱창 전골먹었는데 가성비 좋음집밥 먹는 느낌으로 딱 좋은곳
다솔,4,3,5.0,2021.11.01.,5.0,맛있어요!!
KYW,36,245,4.1,2021.10.24.,3.0,맛은 잇는데 가격에 비해 양이 너무 적네요.. 구이만 먹어서 그런지는 모르겠지만요
ㅇㅅㅇ,18,64,4.8,2021.02.10.,5.0,사장님 너무 친절하시고 구이도 맛있는데 전골이 진짜 레전드예요 너무맛있어요 주기적으로 먹어야합니다
ss,11,20,4.6,2020.12.25.,5.0,맛있어요ㅎㅎㅎ 곱이 많았구 얼큰 시원했슴당당면도 맛있었어쇼
현서,23,46,4.2,2020.10.19.,2.0,곱창러버라 정말 많이먹어보고해서 사실 여기말고 다른곳가려다 닫아서 갔는데요....먹은지2주됐는데 아직도 대창의 기름이 생생해요맛있는 기름이아니고 대창 속은 금방 기름이 사라지는데 껍데기가 질기고 기름쩌든내가나네요곱창이나 막창은 먹을만했어요볶음밥도 귀엽긴한데 딱 그정도였어요
링링,5,7,3.9,2020.08.04.,5.0,육회비빔밥이 육회 양도 많고 진짜 너무 맛있었습니다. 곱창전골도 우동사리 추가해서 먹으니까 너무 맛있었어요 ㅎㅎ 또 부추 무침도 조온맛... 특히 사장님이 너무 친절하셔서 또 가고싶은 집이에요.
이의용,18,34,2.7,2020.06.28.,5.0,위치는 구석이라 아쉽다하도 맛은 넘나 좋은겨
j,14,44,4.0,2020.03.18.,5.0,
박현석(인성),22,142,4.0,2018.07.01.,1.0,"여태꺼 가본 집 중 최악의 곱창집.재료 손질 수준도 낮고, 부족한 양을 채우려고 포함시킨듯한 우삼겹은 이맛도 저맛도 아니다.볶음밥은 그냥 고추장 비빔밥 수준..다시는 가고싶지 않은 곳.블로그 보고 온 어린 친구들이나 뜨내기들로 성업중인듯.."
yell,14,23,2.2,2017.10.08.,2.0,넘 비싸고 맛이없어요. 곱창 먹을거면 신촌쪽 넘어가서 드시길..
