user_name,user_rank,num_response,user_star,time,rating,content
유경상,10,9,3.7,2024.04.14.,1.0,태국 유투버가 하나 올려서 장사가 잘되니 온갖 갑질에 직원들 의사 소통도 안되고 조금 도와주려 해도 복잡하니 나가라고 하고 본인 규칙들이니 손님은 맛이야 어떻던 알아서 먹어라는 주인장 입니다.
김민지,11,17,4.5,2024.04.09.,4.0,쭈꾸미는 별론데 볶음밥이 줜맛탱
류류,10,8,4.0,2024.04.01.,3.0,맛있고 괜찮은데요직원 교육 필요할듯 주말 여직원분 진짜;손님들 다들리게 혼자 더워 씨x 중얼거리고 치울때도 뭐가 그렇게 불만인지 다들리게 중얼중얼불만이면 안들리게 하든가 왜 밥먹으러 가서 직원 불평불만 들으면서 먹어야 하는지에휴
NATTHA,2,1,5.0,2024.03.28.,5.0,
흠,29,87,4.1,2024.02.07.,4.0,진짜 맛있게 먹고 위염을 얻었습니다.. 위 아프신 분들은 매운맛 시키지 ㅁr…⭐️
아름,12,11,4.5,2023.10.21.,3.0,쭈꾸미는 그냥 보통? 볶음밥이 맛있어요!직원분들은 엄청 많은 듯 한데 너무 불친절하고 서로 소통이 안되는 듯... 그리고 양에 비해 너무 비싸요
STAFF ONLY,32,326,3.4,2023.10.09.,3.0,통.
윤택,16,29,4.5,2023.09.30.,5.0,
스풀,7,8,3.9,2023.09.11.,3.0,맛 좋은편이고 볶음밥까지 하면 양도 꽤 많음. 친절한건 아니지만 불친절하지도 않음.쭈꾸미와 함께 곁들여 먹을것들이 부실한 느낌.
냠,9,13,3.6,2023.07.31.,3.0,쭈꾸미 탱글하고 너무 맛있어용덜매운 맛으로 해도 맵찔이에겐 조금 매울 수 있어요! 재방문 의사 있습니당근데 직원분들은 인상쓰고 일하시는 게 디폴트인가봐용~
후닝,52,351,4.6,2023.07.16.,5.0,"홍대에 얼마없는 쭈꾸미집. 가성비 적당하다생각, 반찬셀프서비스이나 종류많아서 괜찮다생각함(깻잎 신선한거같음) 외국인이진짜많아서 특히 일본인 많음. 본관? 들어가서 왼쪽이 조금좁은자리가몇개있지만 보통앉을만한데 호불호갈릴수도..? 기다릴때 주위에담배많이펴서 담배냄새좀남 예민하신분들패스.. 장담점이명확한데 볶음밥날치알이 미쳤음 그래서5개"
햄스터,8,6,2.3,2023.06.01.,1.0,사장? 처럼 보이는 남색 옷 뉴발 슬리퍼 남자 완전 불친절 조용히 말 하셔도 알아들어요 물도 안 시원해서 시원한 물로 달라니까 물은 정수기 이용 하는 거 아닌 이상 500원 추가래요. 숭늉은 그냥 맹물이고 3시에 갔는데도 늦게나와요 깻잎 물컵 다 이물질 묻어있구요. 밑반찬 퀄리티도 그냥 그래요
이자몽,1,4,4.8,2023.05.16.,5.0,
고양이,12,26,4.3,2023.05.03.,5.0,쭈꾸미도 크고 맛있어요다만 사람이 많고 정신없음
thuy,42,222,4.8,2023.04.30.,5.0,
뽀글뽀글,18,39,4.9,2023.03.19.,5.0,ㄹㅇ 핵맛있음근데 매장 들어오면 여기가 일본인지 한국인지 구별 못할 정도로 일본인이 많음ㅋㅋ
준식,17,43,4.4,2023.03.15.,5.0,간만에 가니까 외국인 손님 엄청 늘었네요 ㅎㅎ그리고 전보다 오른 가격 ㅠㅠ..그래도 맛있게 잘먹고 왔습니다!
북치기박치기,24,59,4.5,2023.03.13.,5.0,꽤괜 ㅋ알마니가 맛남주차는 유료로 하든가 알아서 해야합니다
sdj,24,72,4.2,2023.03.02.,4.0,맛인 쏘쏘 가성비도 딱 그 가격 쏘쏘한데 알마니볶음밥이 진짜맛있어요 날치알왕창들어가서 그런가쭈꾸미를 적게시키고 밥을 왕창시키세요 쭈꾸미국물 덜어놨다가 볶음밥이랑 먹으면 개꿀맛
나다,24,63,3.6,2023.02.24.,5.0,굿 덜매운맛도 적당히 매움 맛있음
