user_name,user_rank,num_response,user_star,time,rating,content
오리너굴,30,115,4.4,2024.01.04.,5.0,닭한마리 너무 맛있고 양배추 소스가 미쳤음
🥚,23,49,3.5,2024.01.03.,4.0,
이한길,15,21,4.4,2023.12.27.,1.0,혼자갔지만 2인분 이상 먹을 계획인데도 무조건 식사금지. 이런 리뷰 남겨본 적이 없는데 좀 이해가 안됨 ㅋㅋㅋㅋㅋㅋㅋㅋ
룸펜,21,86,4.3,2023.11.28.,5.0,"추운날 들러서 따뜻하고 깔끔하게, 맛있게 먹었습니다~"
ㄱㅅㄴ,9,16,4.7,2023.10.24.,5.0,푸짐하고 맛있음 ㅜㅜ
aa,9,7,3.9,2023.09.03.,4.0,<3인 33000원 칼국수 2인분 6000원>여자 셋이서 배부르게 먹었어요 닭다리도 3개 들어있고 목도 있고 후추 좋아하는 사람으로서 후추맛 세게 안 느꼈졌습니다!!맑은 닭곰탕 느낌이어서 맛있어요 버섯이랑 대파도 넉넉해서 잘 먹었네요. 사리값이 좀 비싸다고 느껴져요 직원분 친절하신데.. 가게가 좀 어수선하지만 또 가고 싶어요 떡이 자꾸 생각나요 말랑말랑..
둡,21,74,3.3,2023.08.27.,2.0,닭한마리는 뽀얀 국물에 미친 감칠맛(?)으로 먹는다고 생각했는데 후추 맛이 많이 나고 간이 좀 세서 아쉬웠습니다ㅠㅠ
엄근진,3,2,5.0,2023.07.25.,5.0,후기대로 후추 맛이 강한편이긴 한데 국물 양도 많고 먹으면서 향이 점차 날아가서 닭국물이 충분히 우러나왔을때 너무 맛있었슴다..닭도 탱글해서 너무 좋았고 양념이 맛있어서 버섯 안좋아하는데 버섯도 맛나게 먹었어요
동기,5,3,5.0,2023.07.21.,5.0,"진짜 맛있어요 닭잡내 1도 안나고 이미 기본에 떡, 버섯 등 들어있어서 추가 안해도 충분히 배부르고 푸짐하게 즐길 수 있었어요!!! 처음엔 국물에 비해서 닭이 너무 작은거 아닌가? 싶었는데 놉;; 배불러서 칼국수도 죽도 못시켰숨다… 진심 소주 한잔 때리면서 먹으면 걍 소주 1병은 순삭 가능.. 그리고 사장님+일하시는 분들 넘 친절하고 대응이 빨라서 종로 쪽에서 일하는데 답답했던 체증이 싹 내려갔읍니다.. 자주 갈게요…"
이선민,5,9,4.3,2023.07.13.,4.0,
ㄹㄹㄹ,3,3,3.7,2023.07.01.,5.0,진짜 맛있고 친절하시고 시원하고 모든게완벽해요 진짜맛있습니다!!
5자리뷰어,22,97,4.6,2023.06.12.,5.0,뜨끈하니굿
냉철한입맛,43,503,3.7,2023.01.16.,3.0,국물 후추맛이 조금 쎄요 닭 한 마리는 뭐 맛없을 수가 없죠
명현,6,7,4.6,2022.12.19.,5.0,깔끔하니 맛있습니다~
🍦,3,1,5.0,2022.12.13.,5.0,"지금 날씨에 따뜻한 국물은 최고인거같아요~칼칼하니 육수도 진하고 너무너무 맛있었어요 !!!칼국수에다가 죽까지 무조건 다 드셔야하구 사장님도, 직원도 왕왕 친절했습니다!!!!!또 올거에요단골해야겠어요!!!"
