user_name,user_rank,num_response,user_star,time,rating,content
별점조작시 후기 계속 업데이트,35,112,3.9,2024.04.24.,1.0,
맛집러,10,8,1.5,2024.04.23.,5.0,여기 너무 맛있어요!!! 홍대에서는 1티어 곱창집으로 인정!!!
박현수,3,2,5.0,2024.04.21.,5.0,정말 맛있고 다시 오고 싶어요무료로 주는 해물탕이 시원하네요
박지현,2,1,5.0,2024.04.21.,5.0,냄새부터 미쳤습니다❤️👍❤️
hs,4,3,4.7,2024.04.21.,4.0,맛 괜찮긴 한데 리뷰 이벤트로 후기는 좀 뻥튀기 된점 감안해주세요!! 나쁘진 않어요~ 다만 파김치는 좀 신선해야 될듯요!! 약간 쉰냄새 낫어요ㅠ 곱창은 맛있었어요
루피,6,7,3.6,2024.04.18.,5.0,"모둠곱창 먹었는데 직접 구워주시고, 고소하고 맛있어요."
박강현,3,1,5.0,2024.04.08.,5.0,직원분들 너무 친절하고 음식도 너무 맛있네요 또 올게요ㅎㅎ
스타북스,10,18,4.1,2024.04.06.,5.0,홍대 곱창 맛집!!!
이근우,5,234,5.0,2024.04.06.,5.0,
동하,3,1,5.0,2024.04.06.,5.0,홍대 이사와서 곱창먹고 싶어서 오후세시에도 사람 많길래 들어왔는데 역시네요!
sshh,9,12,2.0,2024.04.05.,5.0,푸짐하고 맛있어요
또간집착녀,24,77,2.6,2024.04.05.,2.0,모듬 먹었구요 평점 왜 높은지 모르겠구요
임창윤,4,3,5.0,2024.04.03.,5.0,친절하시고 직접 구워주셔서 너무 편하게 먹을 수 있었어요 !!
람쥐의 도톨희를 뺐지마오,32,98,3.3,2024.04.03.,1.0,별점 조작
조영인,3,2,5.0,2024.04.01.,5.0,맛있어요!
앙뜨,22,21,2.7,2024.03.31.,1.0,조작업체 ㅋㅋㅋㅋ 리뷰 하는사람들이 전부 다 리뷰 3개미만 유령계정 ㅋㅋㅋ
가나다,5,3,5.0,2024.03.28.,5.0,"ㄹㅇ 개맛있어요 곱도 가득 차있어서 미쳤어요,,,"
맛집전문가,6,6,3.3,2024.03.27.,5.0,냄새부터 기가 막히네요. 직원분들 모두 친절하셔서 좋아요ㅎㅎ
냠냠,15,36,3.0,2024.03.25.,1.0,
m,2,1,5.0,2024.03.24.,5.0,진짜 오래 기다려도 먹을 맛이에요 너무 맛있어요 곱창도 진짜 신선하고 고소해서  최고입니다!! 완전 추천해요~~
박미정 (코코),8,5,5.0,2024.03.24.,5.0,제주에서 홍대 놀러왔는데 여기가 맛있다고 해서 들렸어요!! 후기는 배신하지 않네요!! 강추!!
JUSTIN🇰🇷,2,1,5.0,2024.03.22.,5.0,정말 분위기 좋고 맛있어요!해외에서 친구들와서 데리고 왓네요ㅎㅎ
서준호,3,1,5.0,2024.03.22.,5.0,오래 기다려서라도 먹을만한 맛이네요👍🏻 냄새 안나고 맛있습니다!!
Max Kim,3,1,5.0,2024.03.21.,5.0,We are from LA and this place is the bomb!!!
