user_name,user_rank,num_response,user_star,time,rating,content
🫥,42,386,3.7,2024.03.21.,1.0,누가 안주 맛있다고 했지
김연빈,1,1,5.0,2024.02.12.,5.0,
와압,25,48,3.5,2023.11.05.,4.0,안주 대부분 다 맛있어요!데빌치킨 소고기튀김 추천
loxrd21,49,"1,510",3.2,2023.08.02.,4.0,
4.0,33,476,3.9,2023.07.16.,5.0,홍대 최애포차~~
쨍하면해뜰날,32,240,4.7,2023.05.22.,5.0,오늘도 기분좋게 한잔하고 갑니다.
정 현우,2,1,5.0,2022.11.25.,5.0,데이트코스 #재용#선광 졸맛
츪믊즒,17,30,3.6,2022.11.13.,5.0,효봉은 그저...... 빛........
k,5,9,3.9,2022.10.30.,5.0,맛있어요
쩜점,9,23,4.2,2022.09.23.,5.0,스지탕 굿
ㄴ,28,153,2.5,2022.05.24.,3.0,청포보다는 나음 ㅋㅋㅋ
아뵤진,15,125,4.4,2022.04.29.,4.0,
k.,5,7,2.7,2021.11.17.,5.0,
ㅇㅅㅇ,18,64,4.8,2021.02.10.,5.0,스지탕 돌게탕 존맛 믿고먹는곳
ropez,13,41,3.8,2020.11.18.,4.0,스지탕은 무난하고 생선찜 비주얼이 압도적임
고란희,23,157,3.5,2020.03.25.,3.0,"스지탕 good, 근데 물맛 너무 이상 수돗물맛"
미마무,9,14,3.2,2019.07.18.,5.0,
냠냐라냠,31,142,3.7,2019.07.01.,5.0,"스지탕, 매운스지볶음 존맛ㅠ 평범한 주먹밥도 맛있는 곳"
여름,16,28,4.5,2019.03.23.,5.0,최고
ys,24,75,4.2,2019.02.18.,5.0,스지탕 파린애플탕수육? 진짜 존맛탱
