user_name,user_rank,num_response,user_star,time,rating,content
깅맘,32,87,4.7,2024.03.30.,5.0,후라토 말해모해다 맛있는 곳 😋
werockrock,15,10,3.8,2024.02.01.,3.0,오므라이스는 괜찮아요규카츠는.. 소고기 모양이 이상해서 찾아보니 진짜 마블링이 아니고 인젝션육을 쓰는거 같아요 기름기가 인위적이고 고기가 질겨요
두부리뷰인,38,341,3.9,2024.01.16.,4.0,맛있음 근데 좌석 배치 너무 좁음 테이블도 작음 불편함
냠냠,25,104,3.2,2024.01.01.,5.0,일단 직원들 너무너무 친절하시고 옆에 진상손님 하나 앉아서 자기는 이거 주문 한 적없다고 빽빽대느라 시끄럽긴 했는데 그 와중에도 직원들 대처 너무 친절하게 해주셨고 사실 직원들이 메뉴 재확인하는것도 다 들었는데 걍 그 진상이 구라치는듯; 그래서 직원들 진짜 친절한데 고생한다 싶었고 진짜 너무 맛있었음 규카츠는 후라토임 ㅇㅇ
다흰,23,41,4.2,2023.12.31.,5.0,오므라이스맛집대뱍. . . .대박.  . 2023 맛집 탑 3위안에듬진짜 최고. . .또먹으러올게요!!!카레도맛있지만 오므라이스넘사벽.
냠냐미,13,19,4.2,2023.11.26.,4.0,고기가 두꺼워서 맛있는데 내부에서 고기 냄새가 많이 나긴 해요...
한,11,17,4.0,2023.11.17.,3.0,1년에 한 번씩은 방문해왔는데 이번에 가니 맛이 변했습니다 고기도 질기고 예전 만큼 맛있지 않았습니다 이제 다른 규카츠 맛집을 찾아 떠나려구요...
dmz,35,508,4.1,2023.10.20.,5.0,"소고기 돈까스라서 가격대가 조금 있지만 매장 분위기, 정갈한 상태의 서빙 고려시 만족합니다.비프까스"
리뷰쓰는거좋아함,31,101,3.8,2023.10.16.,5.0,마쉿당 양작다는 후기가 많은데 양 안작았고 오히려 밥은 남겼음.
★,29,74,3.6,2023.10.11.,4.0,맛있어요 진짜 딱 무난하게 맛있습니다
김김,13,16,3.8,2023.09.15.,5.0,먹어도 먹어도 안질리는데 맛있기도 하고 양이 좀 적은 것도 있는 듯... 아무튼 짱맛 또간집
슬,35,127,4.7,2023.09.02.,4.0,양이적어서슬프지만 맛있음 사진보니까 또먹고싶음ㅋ
