user_name,user_rank,num_response,user_star,time,rating,content
망곰이의비밀맛집,22,25,5.0,2024.04.23.,5.0,가성비 좋고 맛있어요🤍 테이블 간격이 좁은편이라 살짝 불편하지만 그래도 신선한 재료에 소스도 직접 만들어 먹을 수 있어서 만족!!
Qwert,2,9,3.8,2024.04.09.,5.0,
냐옹,18,88,3.8,2024.04.09.,4.0,훠궈나라 지점 중 제일 맛있음
방참우,31,73,4.0,2024.04.02.,4.0,맛있고 가격도 착해요.
땅콩,8,14,4.1,2024.03.20.,5.0,생각보다 재료 상태도 괜찮고 맛있었어요 좋은 가격 같습니다
봉풀주,23,69,3.8,2024.03.08.,5.0,
...,23,71,3.6,2024.03.02.,3.0,가성비 좋아요!재료 다양하지 않고 마라맛은 약해요!
마포구 쩝쩝박사,33,89,3.3,2024.02.20.,4.0,가성비 좋음테이블 간격 좁아서 불편우삼겹 비싼디 많이 먹고오세요 중국당면없음 토마토탕 맛있음
eun,7,11,3.2,2024.02.13.,5.0,항상 혜화점만 가다가 방문해봤는데 여기도 좋았습니다
KYW,36,245,4.1,2024.01.21.,5.0,가성비 좋음 존맛탱
무조건 맛있게 먹어야됨,32,101,4.3,2024.01.14.,5.0,존맛 ㅋ 훠궈는 실패할 수 없다.
✿,21,29,4.2,2024.01.04.,5.0,홍대갈때 훠궈 무한리필 하러 가는 곳🫶
권수진,2,11,5.0,2023.12.25.,5.0,
😷,12,11,2.8,2023.12.20.,1.0,남자알바생이싸갈탱임지바쁘다고 정색하면서화내기있는지..?
Ionic 사테진텟,2,1,4.0,2023.12.03.,4.0,
HH,8,17,4.0,2023.11.22.,4.0,가성비잇으나 불친절
밥,24,27,2.7,2023.11.11.,2.0,무한 리필이라는 점은 좋음 근데 위생 꽝 친절 꽝 그리고 가게 미친듯이 번잡스러움 고기도 잡내 심해요
김밍키,19,30,4.5,2023.11.10.,5.0,점심에 갈때마다 조금씩 웨이팅있네요 가성비갑 맛도 괜찮음 안갈이유가없는곳❤️‍🔥 토마토탕 강추
샤스케이,5,4,3.0,2023.11.04.,4.0,가성비 긧~홍탕 2단계 기침나오게 매움맵찔이들은 알아서 1단계 시키던가 다른 탕 시켜머그셈
마늘고양이,20,26,3.7,2023.11.03.,4.0,요즘  만원대 뷔페 흔치 않은데 가성비 좋다.  고기 냄새가 좀 신경쓰이는 거 제외하면 다른 건 다 좋음
냠,4,5,4.6,2023.08.12.,5.0,
day_off,41,211,4.1,2023.08.10.,3.0,그냥저냥 무난한 훠궈였어요 ㅎ
추안,24,58,3.5,2023.07.22.,5.0,이 가격에 이정도 퀄리티면 ㄹㅇ 갓성비죠. 재료들이 다 신선하고 냉동고기도 나쁘지 않아요.셀프 소스만드는 것도 맘에듬
비,21,330,4.6,2023.07.07.,3.0,
냐,5,6,2.8,2023.07.06.,4.0,가성비도 좋고 고기도 무한리필이라 좋아요 그렇지만 위생 좀 신경써주셨으면 좋겠습니다
감자만두,17,34,3.9,2023.07.02.,3.0,맛있고 가성비 좋긴한데 혼자가면 2천원이 더 붙어요.. 사전 안내 못들었는데 계산서 보니 1인추가금이 붙어있네요..두자리 차지하는 것도 아니고 구석 조그만한곳 앉았는데 좀 이해가 안가요
-!-!!-!,9,18,3.8,2023.06.26.,5.0,무한리필에 이 가격이면 홍대 물가치고 진짜 가성비 개좋음 런치로 먹으면 진짜 기분 개좋아짐그리고 맛있음곤약면 꼭꼭 넣어먹으셈
하하하,4,6,4.0,2023.06.16.,5.0,너무 맛있음 무한리필이라서 한끼 거르고 가야함
온리원,10,12,4.0,2023.06.11.,5.0,"가성비대비 맛이 좋아서 와이프랑 자주 갑니다, 추천추천 .  젊은 남자분들 가게 봐주시는데 다들 힘들어 보이네요."
ㅈㅅㅁ,6,5,3.8,2023.06.01.,4.0,
지우,2,1,2.0,2023.05.19.,2.0,맛은 있네요;;근데 알바생 2명이 너무 무섭구ㅠ 자꾸 불친절하다고 느껴졌어요ㅠㅠ
.,11,12,4.6,2023.05.14.,5.0,맛있어용 점심에 가면 가성비 최고
요완,4,4,4.0,2023.05.06.,4.0,
율린,4,5,2.6,2023.04.23.,1.0,알바생 ♪♩~♪없음 싸가지바가지 밥먹으러와서 기분 나빠지고싶으면 가세요
.,15,27,4.0,2023.01.22.,5.0,제발 그만 좀 가세요 웨이팅 힘들어(사진 다 다른날)
현,26,56,4.0,2022.12.26.,5.0,탕도 맛있고 무한리필이라서 좋아요셀프바 종류도 다양하고요소스도 종류 많아요주말이라 웨이팅 30분 정도 했어요
룰랄라,8,8,4.0,2022.11.23.,5.0,맛이 스껄하네요… 또 가려고요
머랭쿠키,41,203,4.3,2022.10.08.,5.0,가성비 완전 최고
딩가딩가,36,239,3.9,2022.09.23.,5.0,싸고맛있음 백탕이존맛
Grown-ish,58,250,3.0,2022.09.10.,1.0,육수가 너무 별로예요… 전혀 떠먹고 싶지 않은 국물맛 ㅠㅠㅠ 고기도 질기고 냄새나서 최초로 훠궈집가서 한시간도 안먹고 나왔습니다. 역시 훠궈는 건대쪽이 맛난듯 I didn’t like here at all. Ingredients are not fresh also meat was very smelly. :(
yyiwi,6,10,2.9,2022.08.26.,4.0,
모아니면도,12,18,4.6,2022.06.29.,5.0,훠궈나라 토마토탕 최애❤️가격대비 만족
세오,8,22,4.7,2022.05.19.,5.0,
00,2,2,1.5,2022.05.02.,1.0,"감자 없는 훠궈집 처음봅니다. 식재도 신선하지 않고 맛도 별로 서비스도 별로, 왜 줄을 서서 먹는지 모르겠어요"
김연주,54,425,4.7,2022.03.10.,4.0,가성비 좋고 토마토탕 넘 맛있어요 좀 좁은거 빼고 괜찮아요
